Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.0,7.5,7.5,7.5,1.9912160634994507,1300
1975-11-18,0.0,7.5,7.5,7.5,1.9912160634994507,200
1975-11-19,0.0,7.5,7.5,7.5,1.9912160634994507,1100
1975-11-20,0.0,7.5,7.5,7.5,1.9912160634994507,900
1975-11-21,0.0,7.5,7.5,7.5,1.9912160634994507,400
1975-11-24,0.0,7.5,7.5,7.5,1.9912160634994507,2700
1975-11-25,0.0,7.5,7.5,7.5,1.9912160634994507,5100
1975-11-26,0.0,7.5,7.5,7.5,1.9912160634994507,900
1975-11-28,0.0,7.5,7.5,7.5,1.9912160634994507,800
1975-12-01,0.0,7.375,7.375,7.375,1.9580289125442505,15400
1975-12-02,0.0,7.375,7.375,7.375,1.9580289125442505,8200
1975-12-03,0.0,7.375,7.375,7.375,1.9580289125442505,6300
1975-12-04,0.0,7.375,7.375,7.375,1.9580289125442505,400
1975-12-05,0.0,7.375,7.375,7.375,1.9580289125442505,3100
1975-12-08,0.0,7.375,7.375,7.375,1.9580289125442505,2600
1975-12-09,0.0,7.375,7.375,7.375,1.9580289125442505,11200
1975-12-10,0.0,7.375,7.375,7.375,1.9580289125442505,1800
1975-12-11,0.0,7.375,7.375,7.375,1.9580289125442505,700
1975-12-12,0.0,7.375,7.375,7.375,1.9580289125442505,1100
1975-12-15,0.0,7.375,7.375,7.375,1.9580289125442505,5000
1975-12-16,0.0,7.5,7.5,7.5,1.9912160634994507,3100
1975-12-17,0.0,7.375,7.375,7.375,1.9580289125442505,1200
1975-12-18,0.0,7.375,7.375,7.375,1.9580289125442505,4600
1975-12-19,0.0,7.25,7.25,7.25,1.924839973449707,1300
1975-12-22,0.0,7.25,7.25,7.25,1.924839973449707,1200
1975-12-23,0.0,7.25,7.25,7.25,1.924839973449707,9100
1975-12-24,7.25,7.25,7.25,7.25,1.924839973449707,0
1975-12-26,0.0,7.25,7.25,7.25,1.924839973449707,1900
1975-12-29,0.0,7.25,7.25,7.25,1.924839973449707,8700
1975-12-30,0.0,7.125,7.125,7.125,1.89165461063385,200
1975-12-31,0.0,7.125,7.125,7.125,1.89165461063385,3400
1976-01-02,0.0,7.125,7.125,7.125,1.89165461063385,700
1976-01-05,0.0,7.125,7.125,7.125,1.89165461063385,600
1976-01-06,7.125,7.125,7.125,7.125,1.89165461063385,0
1976-01-07,0.0,7.25,7.25,7.25,1.924839973449707,2000
1976-01-08,0.0,7.25,7.25,7.25,1.924839973449707,600
1976-01-09,0.0,7.25,7.25,7.25,1.924839973449707,100
1976-01-12,0.0,7.375,7.375,7.375,1.9580289125442505,7000
1976-01-13,0.0,7.5,7.5,7.5,1.9912160634994507,1400
1976-01-14,0.0,7.375,7.375,7.375,1.9580289125442505,2000
1976-01-15,0.0,7.375,7.375,7.375,1.9580289125442505,800
1976-01-16,0.0,7.375,7.375,7.375,1.9580289125442505,2100
1976-01-19,0.0,7.375,7.375,7.375,1.9580289125442505,900
1976-01-20,0.0,7.375,7.375,7.375,1.9580289125442505,2700
1976-01-21,0.0,7.5,7.5,7.5,1.9912160634994507,10300
1976-01-22,0.0,7.5,7.5,7.5,1.9912160634994507,6700
1976-01-23,0.0,7.5,7.5,7.5,1.9912160634994507,2700
1976-01-26,0.0,7.5,7.5,7.5,1.9912160634994507,8000
1976-01-27,0.0,7.5,7.5,7.5,1.9912160634994507,4100
1976-01-28,0.0,7.625,7.625,7.625,2.0244016647338867,900
1976-01-29,0.0,8.625,8.25,8.25,2.1903374195098877,8800
1976-01-30,0.0,8.625,8.25,8.25,2.1903374195098877,3900
1976-02-02,0.0,9.5,9.125,9.125,2.4226462841033936,9100
1976-02-03,0.0,9.75,9.375,9.375,2.489020586013794,19900
1976-02-04,0.0,9.75,9.375,9.375,2.489020586013794,10000
1976-02-05,0.0,9.875,9.5,9.5,2.5222060680389404,16300
1976-02-06,0.0,9.625,9.25,9.25,2.45583176612854,6300
1976-02-09,0.0,9.5,9.125,9.125,2.4226462841033936,2900
1976-02-10,0.0,9.375,9.0,9.0,2.3894572257995605,1700
1976-02-11,0.0,9.25,8.875,8.875,2.356271266937256,3200
1976-02-12,0.0,9.25,8.875,8.875,2.356271266937256,3000
1976-02-13,0.0,9.375,9.0,9.0,2.3894572257995605,8400
1976-02-17,0.0,9.625,9.25,9.25,2.45583176612854,7200
1976-02-18,0.0,9.625,9.25,9.25,2.45583176612854,1100
1976-02-19,0.0,10.0,9.625,9.625,2.5553934574127197,8300
1976-02-20,0.0,11.0,10.625,10.625,2.8208889961242676,15700
1976-02-23,0.0,11.375,11.0,11.0,2.920447826385498,27600
1976-02-24,0.0,12.0,11.625,11.625,3.086383581161499,23200
1976-02-25,0.0,12.25,11.875,11.875,3.1527578830718994,22700
1976-02-26,0.0,12.0,11.625,11.625,3.086383581161499,29200
1976-02-27,0.0,11.0,10.625,10.625,2.8208889961242676,20900
1976-03-01,0.0,11.625,11.25,11.25,2.986823320388794,11400
1976-03-02,0.0,12.125,11.75,11.75,3.1195695400238037,25900
1976-03-03,0.0,12.0,11.625,11.625,3.086383581161499,12400
1976-03-04,0.0,12.0,11.625,11.625,3.086383581161499,14200
1976-03-05,0.0,12.0,11.625,11.625,3.086383581161499,4900
1976-03-08,0.0,12.0,11.625,11.625,3.086383581161499,4300
1976-03-09,0.0,12.125,11.75,11.75,3.1195695400238037,4400
1976-03-10,0.0,11.75,11.375,11.375,3.0200109481811523,12800
1976-03-11,0.0,11.75,11.375,11.375,3.0200109481811523,3400
1976-03-12,0.0,11.625,11.25,11.25,2.986823320388794,1600
1976-03-15,0.0,11.125,10.75,10.75,2.8540754318237305,4000
1976-03-16,0.0,11.75,11.375,11.375,3.0200109481811523,7900
1976-03-17,0.0,11.75,11.375,11.375,3.0200109481811523,10000
1976-03-18,0.0,11.625,11.25,11.25,2.986823320388794,12700
1976-03-19,0.0,11.625,11.25,11.25,2.986823320388794,6700
1976-03-22,0.0,11.5,11.125,11.125,2.9536354541778564,5900
1976-03-23,0.0,11.375,11.0,11.0,2.920447826385498,3500
1976-03-24,0.0,11.375,11.0,11.0,2.920447826385498,4900
1976-03-25,0.0,12.0,11.625,11.625,3.086383581161499,22600
1976-03-26,0.0,12.875,12.5,12.5,3.318693161010742,39800
1976-03-29,0.0,13.25,12.875,12.875,3.4182546138763428,20600
1976-03-30,0.0,13.5,13.125,13.125,3.4846274852752686,49700
1976-03-31,0.0,13.625,13.25,13.25,3.517813205718994,21000
1976-04-01,0.0,13.125,12.75,12.75,3.385066032409668,8100
1976-04-02,0.0,13.0,12.625,12.625,3.3518788814544678,7800
1976-04-05,0.0,13.0,12.625,12.625,3.3518788814544678,1100
1976-04-06,0.0,12.875,12.5,12.5,3.318693161010742,1900
1976-04-07,0.0,12.125,11.75,11.75,3.1195695400238037,3100
1976-04-08,0.0,12.0,11.625,11.625,3.086383581161499,3000
