Date,Open,High,Low,Close,Adj Close,Volume
1998-07-10,10.0,10.0,9.625,9.625,7.2575907707214355,24800
1998-07-13,10.0,10.0,10.0,10.0,7.540358543395996,2800
1998-07-14,9.75,9.75,9.75,9.75,7.351846694946289,1800
1998-07-15,9.0,9.0,9.0,9.0,6.786319255828857,3000
1998-07-16,9.5,9.5,9.0,9.3125,7.02195930480957,20800
1998-07-17,9.3125,9.6875,9.1875,9.4375,7.1162109375,13600
1998-07-20,9.3125,9.875,8.5,9.125,6.880577087402344,96800
1998-07-21,9.0625,9.625,8.8125,8.875,6.692065238952637,168800
1998-07-22,9.125,9.125,8.8125,8.875,6.692065238952637,46200
1998-07-23,8.625,9.0,8.53125,8.53125,6.432868003845215,28400
1998-07-24,8.625,8.625,7.65625,8.5,6.409302711486816,56200
1998-07-27,8.0,8.5,7.75,8.0625,6.07941198348999,73400
1998-07-28,8.125,8.125,7.375,7.75,5.843778610229492,30400
1998-07-29,7.75,7.75,7.15625,7.375,5.561010837554932,18800
1998-07-30,7.75,8.5,7.75,8.4375,6.362176418304443,16400
1998-07-31,8.25,8.375,8.125,8.375,6.315048694610596,11000
1998-08-03,8.4375,8.4375,8.125,8.125,6.1265387535095215,1600
1998-08-04,8.1875,8.1875,7.8125,7.8125,5.890902996063232,76200
1998-08-05,7.75,8.1875,7.75,7.9375,5.985159397125244,8400
1998-08-06,7.75,7.75,7.5625,7.6875,5.79664945602417,59800
1998-08-07,8.5,8.5,8.0625,8.1875,6.173667907714844,7200
1998-08-10,8.6875,8.6875,8.0625,8.0625,6.07941198348999,3800
1998-08-11,7.5,8.5625,7.5,7.84375,5.914466857910156,9000
1998-08-12,8.0,8.0,7.375,7.4375,5.608140468597412,42400
1998-08-13,7.25,7.375,6.5,6.8125,5.136866569519043,85600
1998-08-14,7.0625,7.0625,6.65625,7.0,5.278250694274902,100800
1998-08-17,7.0,7.0625,6.96875,7.0,5.278250694274902,22000
1998-08-18,7.0,7.21875,7.0,7.125,5.372504234313965,9000
1998-08-19,7.21875,7.3125,7.0625,7.1875,5.419631481170654,112400
1998-08-20,7.4375,7.4375,7.0625,7.21875,5.443195343017578,7800
1998-08-21,7.0625,7.1875,6.9375,7.0625,5.325376510620117,9800
1998-08-24,7.3125,7.3125,7.0625,7.0625,5.325376510620117,9400
1998-08-25,7.625,8.375,7.5,7.8125,5.890902996063232,71200
