Date,Open,High,Low,Close,Adj Close,Volume
1995-02-02,9.5,10.5,9.0,10.0,7.892035007476807,1789900
1995-02-03,10.5,12.0,10.25,11.25,8.878539085388184,541500
1995-02-06,11.25,13.0,11.25,12.75,10.06234359741211,369400
1995-02-07,12.75,12.75,10.75,11.75,9.273138046264648,267400
1995-02-08,11.75,11.75,11.0,11.0,8.68123722076416,120900
1995-02-09,11.0,11.75,11.0,11.375,8.977189064025879,12400
1995-02-10,11.75,12.25,11.25,12.25,9.667741775512695,100500
1995-02-13,12.25,12.75,11.75,12.25,9.667741775512695,185000
1995-02-14,12.5,12.5,11.75,12.25,9.667741775512695,66200
1995-02-15,11.75,12.5,11.75,12.0,9.470438957214355,63000
1995-02-16,12.0,12.5,12.0,12.25,9.667741775512695,51200
1995-02-17,12.5,12.5,12.0,12.125,9.569091796875,105800
1995-02-21,12.0,12.25,11.0625,11.375,8.977189064025879,252100
1995-02-22,11.0,11.5,11.0,11.5,9.075840950012207,61900
1995-02-23,11.0,11.75,11.0,11.3125,8.927864074707031,73800
1995-02-24,11.75,11.75,11.25,11.4375,9.026514053344727,7400
1995-02-27,11.5,11.75,11.25,11.75,9.273138046264648,30000
1995-02-28,11.25,12.0,11.25,12.0,9.470438957214355,12900
1995-03-01,12.0,12.25,11.75,12.0,9.470438957214355,12800
1995-03-02,12.25,12.5,11.75,12.0,9.470438957214355,82800
1995-03-03,12.0,12.5,12.0,12.25,9.667741775512695,36500
1995-03-06,12.0,12.25,11.5,12.0,9.470438957214355,39400
1995-03-07,11.5,12.0,11.5,12.0,9.470438957214355,5000
1995-03-08,11.5,12.0,11.5,11.75,9.273138046264648,2600
1995-03-09,11.5,12.375,11.5,12.25,9.667741775512695,61500
1995-03-10,11.75,12.25,11.75,11.75,9.273138046264648,10800
1995-03-13,12.5,12.5,11.75,12.25,9.667741775512695,33400
1995-03-14,12.25,12.25,11.75,12.25,9.667741775512695,8500
1995-03-15,11.75,12.0625,11.75,12.0625,9.51976490020752,7000
1995-03-16,11.75,12.25,11.75,11.75,9.273138046264648,33600
1995-03-17,11.5,12.25,11.25,11.75,9.273138046264648,107100
1995-03-20,11.25,11.5,11.0,11.5,9.075840950012207,35700
1995-03-21,11.5,13.0,11.25,12.75,10.06234359741211,218300
1995-03-22,12.5,13.75,12.5,13.5,10.654248237609863,88100
1995-03-23,13.75,14.0,13.25,14.0,11.048850059509277,88500
1995-03-24,14.25,14.5,14.0,14.0,11.048850059509277,102700
1995-03-27,14.5,14.75,14.0,14.25,11.246147155761719,43300
1995-03-28,14.75,14.75,14.0,14.25,11.246147155761719,37800
1995-03-29,14.0,14.5,14.0,14.0625,11.098174095153809,47000
1995-03-30,14.0,14.5,13.0,13.25,10.45694637298584,92700
1995-03-31,13.25,13.5,13.0,13.0,10.2596435546875,76300
1995-04-03,13.5,13.5,13.0,13.5,10.654248237609863,21500
1995-04-04,13.0,13.5,13.0,13.125,10.358297348022461,28400
1995-04-05,13.5,13.5,12.75,13.125,10.358297348022461,15800
1995-04-06,13.5,14.5,13.0,14.0,11.048850059509277,70000
1995-04-07,14.5,14.5,13.5,13.75,10.851545333862305,24200
1995-04-10,13.25,13.75,13.25,13.75,10.851545333862305,4200
1995-04-11,13.25,13.75,13.0,13.25,10.45694637298584,14800
1995-04-12,12.75,13.25,12.75,13.25,10.45694637298584,4600
1995-04-13,13.0,13.75,13.0,13.75,10.851545333862305,63500
1995-04-17,13.75,14.0,13.5,14.0,11.048850059509277,31000
1995-04-18,13.5,14.25,13.5,14.0,11.048850059509277,75600
1995-04-19,14.25,14.25,13.75,14.0,11.048850059509277,83600
1995-04-20,14.25,14.5,13.75,14.5,11.443450927734375,196400
1995-04-21,14.5,14.75,14.25,14.25,11.246147155761719,28000
1995-04-24,14.25,14.75,14.0,14.5,11.443450927734375,15700
1995-04-25,14.25,14.5,13.75,13.75,10.851545333862305,32000
1995-04-26,14.0,14.0,13.625,14.0,11.048850059509277,13300
1995-04-27,13.75,14.5,13.75,14.25,11.246147155761719,34700
1995-04-28,14.5,14.5,14.0,14.125,11.14749813079834,43600
1995-05-01,14.5,14.5,13.75,13.875,10.950200080871582,79500
1995-05-02,13.75,14.25,13.5,13.5,10.654248237609863,53100
1995-05-03,13.5,14.25,13.5,13.5,10.654248237609863,30000
1995-05-04,14.0,14.0,13.25,13.375,10.555597305297852,26500
1995-05-05,13.75,13.75,13.0,13.0,10.2596435546875,72500
1995-05-08,13.5,13.5,13.25,13.25,10.45694637298584,500
1995-05-09,13.5,13.5,13.0,13.5,10.654248237609863,19300
1995-05-10,13.125,13.5,13.0,13.0,10.2596435546875,28100
1995-05-11,13.0,14.0,13.0,13.5,10.654248237609863,45800
1995-05-12,14.0,15.25,13.75,15.125,11.936701774597168,92800
1995-05-15,15.25,16.5,15.25,16.5,13.021856307983398,134600
1995-05-16,16.5,16.5,15.75,16.25,12.824554443359375,59500
1995-05-17,16.5,17.5,16.25,17.5,13.81105899810791,232700
1995-05-18,17.5,18.75,17.25,18.0,14.205663681030273,257800
1995-05-19,18.25,20.75,17.75,20.25,15.981365203857422,264300
1995-05-22,20.75,21.5,20.0,21.5,16.96787452697754,142200
1995-05-23,21.5,21.5,20.75,21.0,16.573272705078125,197700
1995-05-24,21.25,21.25,20.0,20.25,15.981365203857422,126900
1995-05-25,19.75,20.25,19.0,19.25,15.192168235778809,107700
1995-05-26,19.25,20.25,19.25,20.25,15.981365203857422,22500
1995-05-30,20.25,20.25,19.25,19.25,15.192168235778809,48900
1995-05-31,19.0,19.5,19.0,19.0,14.99486255645752,9900
1995-06-01,19.0,19.5,18.25,18.5,14.600263595581055,49000
1995-06-02,18.5,19.0,18.5,18.5625,14.649590492248535,29400
1995-06-05,19.0,19.0,18.5,18.75,14.797561645507812,20000
1995-06-06,18.5,18.75,17.75,18.75,14.797561645507812,37300
1995-06-07,18.25,18.875,18.25,18.75,14.797561645507812,8900
1995-06-08,18.75,18.75,18.25,18.25,14.402963638305664,20700
