Date,Open,High,Low,Close,Adj Close,Volume
1980-11-05,7.875,8.1875,7.75,7.875,1.5941617488861084,142800
1980-11-06,7.875,7.9375,7.59375,7.625,1.5435532331466675,79200
1980-11-07,7.625,7.625,7.4375,7.46875,1.51192307472229,74400
1980-11-10,7.46875,7.625,7.34375,7.4375,1.5055969953536987,131600
1980-11-11,7.4375,7.4375,7.34375,7.34375,1.4866191148757935,86800
1980-11-12,7.34375,7.4375,7.28125,7.34375,1.4866191148757935,120800
1980-11-13,7.34375,8.0625,7.34375,7.9375,1.6068143844604492,304000
1980-11-14,7.9375,7.9375,7.75,7.875,1.5941617488861084,290400
1980-11-17,7.875,7.90625,7.65625,7.875,1.5941617488861084,129200
1980-11-18,7.875,7.9375,7.78125,7.78125,1.575183391571045,252400
1980-11-19,7.78125,7.90625,7.625,7.75,1.5688577890396118,126000
1980-11-20,7.75,7.75,7.46875,7.65625,1.5498796701431274,78000
1980-11-21,7.65625,7.75,7.46875,7.5,1.5182493925094604,292000
1980-11-24,7.5,7.625,7.46875,7.5,1.5182493925094604,216800
1980-11-25,7.625,7.8125,7.625,7.8125,1.5815093517303467,248000
1980-11-26,7.96875,8.21875,7.96875,8.21875,1.6637487411499023,294800
1980-11-28,8.21875,8.5625,8.125,8.5625,1.7333341836929321,183600
1980-12-01,8.625,8.84375,8.625,8.78125,1.7776174545288086,368400
1980-12-02,8.78125,8.78125,8.34375,8.6875,1.7586385011672974,296800
1980-12-03,8.6875,8.84375,8.625,8.78125,1.7776174545288086,122400
1980-12-04,8.78125,8.8125,8.71875,8.78125,1.7776174545288086,127200
1980-12-05,8.6875,8.6875,8.5,8.53125,1.7270089387893677,101200
1980-12-08,8.375,8.375,7.90625,8.0625,1.6321179866790771,114800
1980-12-09,8.0625,8.09375,7.96875,7.96875,1.6131397485733032,289200
1980-12-10,7.96875,8.0625,7.875,7.875,1.5941617488861084,37200
1980-12-11,7.625,7.625,7.4375,7.46875,1.51192307472229,276000
1980-12-12,7.46875,7.625,7.46875,7.625,1.5435532331466675,110000
1980-12-15,7.625,7.71875,7.59375,7.625,1.5435532331466675,67200
1980-12-16,7.625,7.75,7.59375,7.75,1.5688577890396118,148400
1980-12-17,7.75,7.875,7.75,7.875,1.5941617488861084,86000
1980-12-18,7.9375,8.25,7.9375,7.96875,1.6131397485733032,230800
1980-12-19,7.96875,8.125,7.90625,8.125,1.644769310951233,78800
1980-12-22,8.21875,8.40625,8.21875,8.375,1.6953787803649902,94800
1980-12-23,8.375,8.40625,8.375,8.375,1.6953787803649902,62800
1980-12-24,8.375,8.375,8.0625,8.09375,1.6384437084197998,35600
1980-12-26,8.09375,8.1875,7.875,7.90625,1.600488305091858,27600
1980-12-29,7.8125,7.8125,7.5,7.625,1.5435532331466675,68800
1980-12-30,7.625,7.65625,7.375,7.625,1.5435532331466675,194400
1980-12-31,7.625,7.625,7.5625,7.625,1.5435532331466675,64800
1981-01-02,7.625,7.65625,7.5625,7.59375,1.5372275114059448,27200
1981-01-05,7.59375,7.71875,7.5,7.625,1.5435532331466675,112400
1981-01-06,7.625,7.625,7.46875,7.59375,1.5372275114059448,101200
1981-01-07,7.59375,9.59375,6.96875,7.125,1.4423373937606812,282400
1981-01-08,7.125,7.3125,7.0,7.0,1.4170334339141846,170000
1981-01-09,7.03125,7.1875,7.03125,7.1875,1.4549885988235474,74000
1981-01-12,7.1875,7.3125,7.15625,7.1875,1.4549885988235474,114000
1981-01-13,7.03125,7.03125,6.8125,6.875,1.3917279243469238,138400
1981-01-14,6.96875,7.28125,6.96875,7.28125,1.4739675521850586,275600
1981-01-15,7.3125,7.46875,7.3125,7.46875,1.51192307472229,174800
1981-01-16,7.46875,7.46875,7.3125,7.34375,1.4866191148757935,99600
1981-01-19,7.34375,7.34375,7.1875,7.28125,1.4739675521850586,32400
1981-01-20,7.28125,7.34375,7.28125,7.28125,1.4739675521850586,91600
1981-01-21,7.28125,7.3125,7.0,7.03125,1.4233587980270386,225200
1981-01-22,7.03125,7.1875,7.0,7.1875,1.4549885988235474,86800
1981-01-23,7.1875,7.21875,7.15625,7.21875,1.4613147974014282,28800
1981-01-26,7.21875,7.28125,7.0625,7.125,1.4423373937606812,36800
1981-01-27,7.125,7.34375,7.0625,7.3125,1.4802926778793335,572400
1981-01-28,7.3125,7.34375,7.125,7.125,1.4423373937606812,48400
1981-01-29,7.125,7.1875,7.125,7.15625,1.4486628770828247,354400
1981-01-30,7.15625,7.15625,6.875,6.875,1.3917279243469238,289200
1981-02-02,6.875,6.875,6.375,6.5,1.3158159255981445,631600
1981-02-03,6.5625,6.6875,6.5625,6.6875,1.3537728786468506,86400
1981-02-04,6.8125,7.125,6.8125,6.96875,1.4107067584991455,289200
1981-02-05,7.15625,7.34375,7.15625,7.3125,1.4802926778793335,66800
1981-02-06,7.3125,7.46875,7.21875,7.21875,1.4613147974014282,66400
1981-02-09,7.21875,7.34375,7.21875,7.34375,1.4866191148757935,30000
1981-02-10,7.34375,7.375,7.28125,7.28125,1.4739675521850586,58800
1981-02-11,7.28125,7.3125,7.0625,7.125,1.4423373937606812,27200
1981-02-12,7.125,7.15625,6.90625,7.0,1.4170334339141846,42800
1981-02-13,6.96875,6.96875,6.875,6.96875,1.4107067584991455,18800
1981-02-17,6.96875,7.03125,6.96875,7.0,1.4170334339141846,32800
1981-02-18,7.0,7.34375,7.0,7.21875,1.4613147974014282,47200
1981-02-19,7.1875,7.1875,7.03125,7.03125,1.4233587980270386,82800
1981-02-20,6.875,6.875,6.5625,6.71875,1.3600972890853882,74400
1981-02-23,6.71875,6.90625,6.71875,6.90625,1.398054599761963,21200
1981-02-24,6.90625,7.125,6.90625,6.90625,1.398054599761963,57200
1981-02-25,6.90625,7.0,6.875,7.0,1.4170334339141846,42400
1981-02-26,7.03125,7.1875,7.03125,7.15625,1.4486628770828247,56400
1981-02-27,7.15625,7.21875,7.15625,7.1875,1.4549885988235474,102400
1981-03-02,7.1875,7.3125,7.15625,7.1875,1.4549885988235474,42000
1981-03-03,7.28125,7.34375,7.28125,7.3125,1.4802926778793335,51200
1981-03-04,7.3125,7.4375,7.3125,7.34375,1.4866191148757935,48000
1981-03-05,7.34375,7.4375,7.15625,7.15625,1.4486628770828247,64400
1981-03-06,7.15625,7.1875,7.125,7.1875,1.4549885988235474,62800
1981-03-09,7.1875,7.28125,7.0625,7.125,1.4423373937606812,56800
1981-03-10,7.125,7.1875,7.03125,7.03125,1.4233587980270386,54000
1981-03-11,7.03125,7.1875,7.03125,7.03125,1.4233587980270386,48800
1981-03-12,7.125,7.1875,7.125,7.1875,1.4549885988235474,66400
1981-03-13,7.21875,7.59375,7.21875,7.46875,1.51192307472229,92800
1981-03-16,7.46875,7.75,7.46875,7.75,1.5688577890396118,48000
1981-03-17,7.75,7.90625,7.65625,7.75,1.5688577890396118,84000
1981-03-18,7.78125,8.09375,7.78125,8.03125,1.6257922649383545,55200
1981-03-19,8.03125,8.09375,7.90625,7.90625,1.600488305091858,64800
1981-03-20,7.90625,8.03125,7.75,7.78125,1.575183391571045,67200
1981-03-23,7.78125,7.8125,7.625,7.8125,1.5815093517303467,43200
1981-03-24,7.8125,7.9375,7.78125,7.78125,1.575183391571045,115600
1981-03-25,7.875,7.9375,7.875,7.90625,1.600488305091858,68400
1981-03-26,8.0625,8.1875,8.0625,8.09375,1.6384437084197998,72000
1981-03-27,8.25,8.53125,8.25,8.53125,1.7270089387893677,102800
1981-03-30,8.53125,8.84375,8.5,8.6875,1.7586385011672974,94800
1981-03-31,8.6875,8.8125,8.40625,8.53125,1.7270089387893677,91200
1981-04-01,8.53125,8.5625,8.46875,8.53125,1.7270089387893677,50800
1981-04-02,8.5,8.5,8.21875,8.25,1.670074462890625,103200
1981-04-03,8.25,8.28125,8.21875,8.25,1.670074462890625,99600
1981-04-06,8.25,8.25,7.90625,8.0625,1.6321179866790771,72000
1981-04-07,8.0625,8.09375,7.9375,7.9375,1.6068143844604492,45200
1981-04-08,7.9375,7.9375,7.8125,7.875,1.5941617488861084,114000
1981-04-09,7.875,7.9375,7.65625,7.78125,1.575183391571045,63600
1981-04-10,7.78125,7.9375,7.65625,7.65625,1.5498796701431274,78400
1981-04-13,7.65625,7.71875,7.5625,7.5625,1.5309005975723267,63200
1981-04-14,7.59375,7.65625,7.59375,7.625,1.5435532331466675,92800
1981-04-15,7.625,7.78125,7.625,7.78125,1.575183391571045,48800
1981-04-16,7.78125,7.875,7.75,7.78125,1.575183391571045,26000
1981-04-20,7.78125,7.78125,7.625,7.65625,1.5498796701431274,20000
1981-04-21,7.65625,7.75,7.46875,7.46875,1.51192307472229,36400
1981-04-22,7.46875,7.46875,7.3125,7.34375,1.4866191148757935,14800
1981-04-23,7.34375,7.46875,7.28125,7.4375,1.5055969953536987,60800
1981-04-24,7.4375,7.46875,7.28125,7.3125,1.4802926778793335,40400
1981-04-27,7.21875,7.21875,7.03125,7.125,1.4423373937606812,46000
1981-04-28,7.125,7.15625,7.0,7.03125,1.4233587980270386,166800
1981-04-29,7.03125,7.125,7.03125,7.125,1.4423373937606812,131600
1981-04-30,7.15625,7.28125,7.15625,7.28125,1.4739675521850586,40800
1981-05-01,7.28125,7.34375,7.1875,7.21875,1.4613147974014282,42000
1981-05-04,7.21875,7.3125,7.0625,7.1875,1.4549885988235474,112400
1981-05-05,7.1875,7.1875,7.0625,7.15625,1.4486628770828247,50000
1981-05-06,7.125,7.125,7.03125,7.03125,1.4233587980270386,198000
1981-05-07,7.03125,7.1875,7.03125,7.1875,1.4549885988235474,36000
1981-05-08,7.1875,7.34375,7.125,7.28125,1.4739675521850586,29200
1981-05-11,7.1875,7.1875,7.03125,7.03125,1.4233587980270386,14000
