Date,Open,High,Low,Close,Adj Close,Volume
2002-02-05,107.0,110.0,100.0,101.0,73.3002700805664,400
2002-02-06,100.0,100.0,55.20000076293945,63.400001525878906,46.01225662231445,6000
2002-02-07,65.0,67.0,60.0,62.0,44.9962043762207,500
2002-02-08,61.0,64.0,61.0,63.0,45.72195053100586,300
2002-02-11,65.0,66.0,63.0,65.4000015258789,47.463741302490234,600
2002-02-12,66.0,66.0,63.0,63.20000076293945,45.867103576660156,100
2002-02-13,65.0,66.0,65.0,65.4000015258789,47.463741302490234,0
2002-02-14,66.0,66.0,65.0,65.0,47.17344284057617,800
2002-02-15,66.5999984741211,68.5999984741211,65.0,68.5999984741211,49.7861328125,200
2002-02-19,68.5999984741211,68.5999984741211,67.0,67.0,48.62493133544922,200
2002-02-20,65.0,65.0,63.0,65.0,47.17344284057617,300
2002-02-21,63.0,66.0,61.0,63.0,45.72195053100586,200
2002-02-22,63.0,64.0,57.0,58.0,42.09321594238281,400
2002-02-25,60.0,60.0,54.20000076293945,54.20000076293945,39.33539962768555,100
2002-02-26,54.20000076293945,55.20000076293945,54.20000076293945,55.20000076293945,40.06114196777344,100
2002-02-27,57.0,58.0,54.0,54.0,39.19023895263672,300
2002-02-28,57.79999923706055,59.0,56.0,57.79999923706055,41.948062896728516,100
2002-03-01,60.0,67.80000305175781,60.0,66.5999984741211,48.334625244140625,700
2002-03-04,66.5999984741211,68.0,64.0,66.0,47.89917755126953,200
2002-03-05,67.80000305175781,70.0,66.0,68.0,49.350685119628906,400
2002-03-06,66.0,67.5999984741211,65.0,66.5999984741211,48.334625244140625,300
2002-03-07,67.5999984741211,67.5999984741211,66.0,66.0,47.89917755126953,100
2002-03-08,66.0,67.0,66.0,67.0,48.62493133544922,100
2002-03-11,68.80000305175781,68.80000305175781,67.4000015258789,67.4000015258789,48.915225982666016,0
2002-03-12,68.0,70.0,68.0,68.0,49.350685119628906,100
2002-03-13,70.0,70.0,68.19999694824219,69.19999694824219,50.22157287597656,0
2002-03-14,69.19999694824219,71.0,69.19999694824219,70.80000305175781,51.382781982421875,100
2002-03-15,73.0,75.0,73.0,74.0,53.705162048339844,0
2002-03-18,75.0,75.80000305175781,74.0,74.0,53.705162048339844,300
2002-03-19,75.0,75.80000305175781,75.0,75.0,54.43088912963867,100
2002-03-20,73.19999694824219,76.0,73.19999694824219,75.0,54.43088912963867,700
2002-03-21,76.0,76.0,75.0,75.0,54.43088912963867,100
2002-03-22,75.0,75.0,73.5999984741211,73.5999984741211,53.414859771728516,0
2002-03-25,72.0,72.0,68.19999694824219,68.19999694824219,49.495811462402344,100
2002-03-26,68.19999694824219,68.19999694824219,68.0,68.0,49.350685119628906,0
2002-03-27,66.0,66.0,60.20000076293945,60.20000076293945,43.68986129760742,300
2002-03-28,62.20000076293945,62.79999923706055,60.20000076293945,62.599998474121094,45.43164825439453,100
2002-04-01,64.0,64.0,62.0,63.0,45.72195053100586,300
2002-04-02,64.0,64.0,63.0,64.0,46.44769287109375,1600
2002-04-03,63.20000076293945,64.0,56.20000076293945,56.20000076293945,40.78687286376953,1300
2002-04-04,57.0,57.0,54.0,55.0,39.915992736816406,1100
2002-04-05,56.0,56.0,52.20000076293945,52.20000076293945,37.883888244628906,100
2002-04-08,52.20000076293945,53.0,49.0,52.79999923706055,38.3193473815918,700
2002-04-09,52.79999923706055,53.0,48.0,48.0,34.83578109741211,300
2002-04-10,49.0,49.79999923706055,48.0,49.79999923706055,36.14210510253906,100
2002-04-11,48.0,49.599998474121094,48.0,48.79999923706055,35.416378021240234,200
2002-04-12,47.0,52.0,47.0,52.0,37.73875045776367,600
2002-04-15,52.0,55.0,52.0,54.0,39.19023895263672,100
2002-04-16,56.0,58.599998474121094,55.0,57.0,41.36748123168945,400
2002-04-17,57.20000076293945,58.599998474121094,57.0,58.0,42.09321594238281,200
2002-04-18,58.0,58.0,58.0,58.0,42.09321594238281,0
2002-04-19,57.599998474121094,57.599998474121094,56.20000076293945,56.20000076293945,40.78687286376953,100
2002-04-22,56.0,56.0,55.0,55.20000076293945,40.06114196777344,0
2002-04-23,58.0,58.0,56.0,56.0,40.6417350769043,0
2002-04-24,56.0,56.0,55.0,55.0,39.915992736816406,300
2002-04-25,51.0,54.0,51.0,52.0,37.73875045776367,800
2002-04-26,54.0,59.0,54.0,57.0,41.36748123168945,600
2002-04-29,57.0,61.0,57.0,60.0,43.544708251953125,300
2002-04-30,60.0,60.0,60.0,60.0,43.544708251953125,0
2002-05-01,59.0,60.0,56.0,56.79999923706055,41.222328186035156,500
2002-05-02,55.0,55.0,52.20000076293945,52.20000076293945,37.883888244628906,100
2002-05-03,53.0,53.0,50.0,52.0,37.73875045776367,100
2002-05-06,51.0,51.0,51.0,51.0,37.01300811767578,0
2002-05-07,52.0,56.0,52.0,55.0,39.915992736816406,200
2002-05-08,55.0,56.0,55.0,56.0,40.6417350769043,0
2002-05-09,56.0,58.0,55.0,55.0,39.915992736816406,100
2002-05-10,53.0,53.0,51.0,51.0,37.01300811767578,300
2002-05-13,51.20000076293945,52.0,50.0,52.0,37.73875045776367,300
2002-05-14,50.20000076293945,54.0,50.20000076293945,53.0,38.4644889831543,0
2002-05-15,54.0,54.0,51.20000076293945,51.20000076293945,37.15815734863281,0
2002-05-16,51.0,53.0,51.0,53.0,38.4644889831543,100
2002-05-17,53.0,56.0,53.0,54.0,39.19023895263672,0
2002-05-20,54.0,57.0,54.0,57.0,41.36748123168945,0
2002-05-21,55.0,55.0,54.0,55.0,39.915992736816406,0
2002-05-22,54.20000076293945,56.0,54.20000076293945,54.20000076293945,39.33539962768555,0
2002-05-23,54.400001525878906,56.0,54.20000076293945,54.20000076293945,39.33539962768555,0
2002-05-24,52.20000076293945,54.400001525878906,52.20000076293945,54.20000076293945,39.33539962768555,0
2002-05-28,54.400001525878906,54.400001525878906,53.0,53.0,38.4644889831543,0
2002-05-29,53.0,53.0,53.0,53.0,38.4644889831543,0
2002-05-30,53.79999923706055,53.79999923706055,52.79999923706055,53.0,38.4644889831543,0
2002-05-31,52.400001525878906,52.400001525878906,52.0,52.0,37.73875045776367,0
2002-06-03,50.0,51.0,50.0,51.0,37.01300811767578,100
2002-06-04,50.0,50.0,47.0,47.0,34.11003875732422,300
2002-06-05,46.0,46.0,46.0,46.0,33.384281158447266,0
2002-06-06,44.0,44.400001525878906,42.0,44.400001525878906,32.22309494018555,100
2002-06-07,44.400001525878906,44.400001525878906,44.400001525878906,44.400001525878906,32.22309494018555,0
2002-06-10,40.0,44.0,40.0,42.0,30.481300354003906,100
2002-06-11,41.79999923706055,41.79999923706055,40.79999923706055,40.79999923706055,29.61040496826172,0
2002-06-12,40.0,40.0,37.0,37.0,26.852581024169922,300
2002-06-13,35.0,35.0,33.599998474121094,33.599998474121094,24.38503646850586,300
2002-06-14,33.599998474121094,34.79999923706055,33.400001525878906,34.79999923706055,25.25593376159668,0
2002-06-17,33.599998474121094,33.599998474121094,32.0,33.400001525878906,24.23989486694336,300
2002-06-18,34.0,34.0,32.0,32.0,23.223846435546875,0
2002-06-19,32.79999923706055,32.79999923706055,32.0,32.0,23.223846435546875,100
2002-06-20,32.0,32.20000076293945,32.0,32.0,23.223846435546875,600
2002-06-21,32.0,32.0,32.0,32.0,23.223846435546875,200
2002-06-24,32.20000076293945,32.20000076293945,28.0,31.0,22.49810218811035,800
2002-06-25,30.0,31.399999618530273,30.0,31.0,22.49810218811035,200
2002-06-26,28.0,31.0,24.0,26.0,18.869375228881836,400
2002-06-27,26.399999618530273,26.399999618530273,26.200000762939453,26.200000762939453,19.014524459838867,0
2002-06-28,28.0,28.0,26.200000762939453,26.200000762939453,19.014524459838867,100
2002-07-01,27.0,28.600000381469727,27.0,28.600000381469727,20.756309509277344,0
2002-07-02,28.399999618530273,28.399999618530273,27.0,27.0,19.59511947631836,600
2002-07-03,28.0,28.0,28.0,28.0,20.32086753845215,0
2002-07-05,28.0,28.0,28.0,28.0,20.32086753845215,0
2002-07-08,28.0,28.0,27.0,27.0,19.59511947631836,0
2002-07-09,26.0,26.0,25.0,26.0,18.869375228881836,0
2002-07-10,26.0,27.0,25.0,25.0,18.143632888793945,800
2002-07-11,25.0,25.0,25.0,25.0,18.143632888793945,100
2002-07-12,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-07-15,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-07-16,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-07-17,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,17.563034057617188,0
2002-07-18,25.0,26.0,24.200000762939453,24.200000762939453,17.563034057617188,0
2002-07-19,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,17.563034057617188,0
2002-07-22,25.399999618530273,25.399999618530273,25.399999618530273,25.399999618530273,18.433927536010742,0
2002-07-23,26.600000381469727,26.600000381469727,24.0,25.0,18.143632888793945,0
2002-07-24,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-07-25,24.0,24.0,24.0,24.0,17.417890548706055,0
2002-07-26,24.799999237060547,24.799999237060547,23.600000381469727,23.600000381469727,17.127593994140625,0
2002-07-29,24.0,26.0,24.0,25.0,18.143632888793945,0
2002-07-30,25.799999237060547,26.799999237060547,25.799999237060547,25.799999237060547,18.724225997924805,0
2002-07-31,25.600000381469727,25.799999237060547,23.0,23.0,16.692140579223633,400
2002-08-01,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-08-02,26.0,26.0,24.200000762939453,24.200000762939453,17.563034057617188,0
2002-08-05,24.0,24.0,24.0,24.0,17.417890548706055,0
2002-08-06,23.399999618530273,23.399999618530273,23.0,23.0,16.692140579223633,200
2002-08-07,23.0,23.0,23.0,23.0,16.692140579223633,0
2002-08-08,23.200000762939453,25.0,23.200000762939453,25.0,18.143632888793945,300
2002-08-09,25.0,25.0,24.399999618530273,24.799999237060547,17.99848175048828,300
2002-08-12,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,17.127593994140625,0
2002-08-13,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,17.127593994140625,0
2002-08-14,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,17.127593994140625,0
2002-08-15,24.399999618530273,26.0,24.0,24.0,17.417890548706055,300
2002-08-16,24.0,24.0,24.0,24.0,17.417890548706055,0
2002-08-19,24.0,24.0,24.0,24.0,17.417890548706055,0
2002-08-20,24.0,24.0,24.0,24.0,17.417890548706055,100
2002-08-21,24.0,24.799999237060547,24.0,24.799999237060547,17.99848175048828,0
2002-08-22,25.0,25.0,24.200000762939453,25.0,18.143632888793945,200
2002-08-23,25.0,25.0,24.399999618530273,24.399999618530273,17.708189010620117,0
2002-08-26,24.399999618530273,24.399999618530273,24.399999618530273,24.399999618530273,17.708189010620117,0
2002-08-27,24.0,25.0,24.0,25.0,18.143632888793945,300
2002-08-28,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-08-29,26.200000762939453,26.200000762939453,25.0,25.0,18.143632888793945,100
2002-08-30,25.0,25.0,25.0,25.0,18.143632888793945,0
2002-09-03,24.0,24.0,24.0,24.0,17.417890548706055,0
2002-09-04,24.0,24.0,24.0,24.0,17.417890548706055,100
2002-09-05,24.0,24.0,24.0,24.0,17.417890548706055,0
2002-09-06,19.0,21.0,19.0,21.0,15.240650177001953,1000
2002-09-09,21.0,23.0,21.0,21.0,15.240650177001953,100
2002-09-10,21.0,22.0,21.0,22.0,15.966398239135742,0
2002-09-11,22.0,22.0,22.0,22.0,15.966398239135742,0
2002-09-12,22.0,24.0,22.0,24.0,17.417890548706055,100
2002-09-13,24.799999237060547,25.0,24.0,24.0,17.417890548706055,100
2002-09-16,25.0,25.0,22.0,24.0,17.417890548706055,100
2002-09-17,24.399999618530273,24.399999618530273,22.0,22.0,15.966398239135742,200
2002-09-18,22.0,22.0,21.0,21.0,15.240650177001953,0
2002-09-19,20.0,20.0,20.0,20.0,14.514904975891113,100
2002-09-20,20.0,20.0,20.0,20.0,14.514904975891113,0
2002-09-23,20.0,20.0,20.0,20.0,14.514904975891113,0
2002-09-24,19.0,20.0,19.0,19.0,13.789161682128906,0
2002-09-25,17.200000762939453,17.200000762939453,17.200000762939453,17.200000762939453,12.482818603515625,100
2002-09-26,17.0,19.0,17.0,19.0,13.789161682128906,0
2002-09-27,19.0,19.0,19.0,19.0,13.789161682128906,0
2002-09-30,19.799999237060547,19.799999237060547,17.0,19.0,13.789161682128906,400
2002-10-01,17.0,18.0,15.0,18.0,13.063414573669434,100
2002-10-02,18.0,18.0,17.0,17.0,12.337671279907227,0
2002-10-03,17.0,19.0,17.0,19.0,13.789161682128906,100
2002-10-04,18.0,18.0,18.0,18.0,13.063414573669434,0
2002-10-07,16.0,17.0,15.0,15.0,10.886177062988281,300
2002-10-08,15.0,15.0,13.0,13.0,9.434687614440918,0
2002-10-09,13.0,13.0,13.0,13.0,9.434687614440918,0
2002-10-10,13.0,13.0,13.0,13.0,9.434687614440918,0
2002-10-11,14.0,14.0,13.0,13.0,9.434687614440918,100
2002-10-14,13.0,13.0,12.399999618530273,12.399999618530273,8.99924087524414,0
2002-10-15,13.0,13.0,10.0,11.0,7.983199119567871,300
2002-10-16,11.0,11.0,7.199999809265137,7.800000190734863,5.660813808441162,900
2002-10-17,8.199999809265137,8.199999809265137,5.199999809265137,6.0,4.354472637176514,3200
2002-10-18,6.199999809265137,6.199999809265137,5.599999904632568,6.0,4.354472637176514,1600
2002-10-21,6.0,7.0,6.0,6.0,4.354472637176514,400
2002-10-22,6.400000095367432,7.0,5.400000095367432,5.400000095367432,3.919024705886841,900
2002-10-23,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,3.919024705886841,0
2002-10-24,6.0,7.0,6.0,6.0,4.354472637176514,1000
2002-10-25,6.0,7.0,5.400000095367432,6.400000095367432,4.644769668579102,700
2002-10-28,5.599999904632568,6.599999904632568,5.599999904632568,5.599999904632568,4.064173698425293,100
2002-10-29,5.599999904632568,6.599999904632568,5.599999904632568,6.599999904632568,4.789918422698975,300
2002-10-30,8.0,10.0,6.800000190734863,7.599999904632568,5.515664100646973,1000
2002-10-31,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,5.515664100646973,0
2002-11-01,7.800000190734863,7.800000190734863,7.0,7.800000190734863,5.660813808441162,400
2002-11-04,9.0,9.0,6.400000095367432,8.399999618530273,6.096259117126465,400
2002-11-05,8.399999618530273,8.399999618530273,8.0,8.399999618530273,6.096259117126465,0
2002-11-06,8.399999618530273,8.399999618530273,6.0,7.400000095367432,5.370514392852783,400
2002-11-07,8.0,8.0,7.0,7.0,5.080216884613037,1200
2002-11-08,9.0,9.0,8.800000190734863,8.800000190734863,6.38655948638916,400
2002-11-11,10.800000190734863,10.800000190734863,7.400000095367432,7.400000095367432,5.370514392852783,400
2002-11-12,7.599999904632568,8.0,7.599999904632568,7.800000190734863,5.660813808441162,100
2002-11-13,7.0,8.0,7.0,7.400000095367432,5.370514392852783,200
2002-11-14,6.199999809265137,7.0,6.0,7.0,5.080216884613037,1000
2002-11-15,6.0,7.0,6.0,6.800000190734863,4.935067653656006,700
2002-11-18,6.800000190734863,6.800000190734863,6.400000095367432,6.400000095367432,4.644769668579102,100
2002-11-19,6.599999904632568,6.800000190734863,6.400000095367432,6.800000190734863,4.935067653656006,300
2002-11-20,6.800000190734863,6.800000190734863,5.400000095367432,5.400000095367432,3.919024705886841,3200
2002-11-21,5.400000095367432,6.400000095367432,5.400000095367432,6.400000095367432,4.644769668579102,100
2002-11-22,6.0,8.399999618530273,6.0,8.0,5.805961608886719,200
2002-11-25,10.0,11.0,8.199999809265137,10.0,7.257452487945557,1200
2002-11-26,12.0,19.600000381469727,12.0,18.0,13.063414573669434,800
2002-11-27,18.200000762939453,23.0,18.0,20.0,14.514904975891113,1300
2002-11-29,22.0,28.0,21.0,27.799999237060547,20.175718307495117,2600
2002-12-02,26.0,28.0,20.0,24.0,17.417890548706055,1700
2002-12-03,22.0,26.799999237060547,20.200000762939453,26.0,18.869375228881836,600
2002-12-04,26.0,26.0,24.0,25.799999237060547,18.724225997924805,100
2002-12-05,26.399999618530273,26.399999618530273,21.0,21.799999237060547,15.821245193481445,600
2002-12-06,22.0,23.799999237060547,20.0,20.0,14.514904975891113,200
2002-12-09,20.0,22.0,20.0,22.0,15.966398239135742,300
2002-12-10,20.0,20.200000762939453,20.0,20.0,14.514904975891113,300
2002-12-11,21.0,22.0,19.0,20.0,14.514904975891113,700
2002-12-12,19.0,20.0,18.0,18.200000762939453,13.208563804626465,500
2002-12-13,18.200000762939453,19.799999237060547,18.0,18.200000762939453,13.208563804626465,100
2002-12-16,19.0,19.0,16.0,17.799999237060547,12.918265342712402,100
2002-12-17,17.399999618530273,17.399999618530273,15.0,15.199999809265137,11.031328201293945,200
2002-12-18,16.0,16.0,12.0,14.399999618530273,10.450732231140137,300
2002-12-19,14.0,15.0,13.0,14.0,10.160433769226074,100
2002-12-20,12.0,13.0,11.199999809265137,12.0,8.708945274353027,400
2002-12-23,10.399999618530273,11.800000190734863,10.199999809265137,10.199999809265137,7.40260124206543,400
2002-12-24,10.199999809265137,10.199999809265137,10.0,10.0,7.257452487945557,1200
2002-12-26,12.0,12.0,8.199999809265137,9.0,6.531707286834717,500
2002-12-27,8.0,10.0,8.0,10.0,7.257452487945557,600
2002-12-30,9.199999809265137,10.0,7.0,7.0,5.080216884613037,1200
2002-12-31,7.0,8.0,7.0,7.599999904632568,5.515664100646973,200
2003-01-02,9.0,11.399999618530273,9.0,11.399999618530273,8.273496627807617,300
2003-01-03,11.800000190734863,16.0,9.0,14.199999809265137,10.305582046508789,1400
2003-01-06,16.0,16.0,14.0,14.800000190734863,10.741028785705566,900
2003-01-07,16.799999237060547,18.0,16.799999237060547,18.0,13.063414573669434,900
2003-01-08,18.399999618530273,18.799999237060547,16.0,17.0,12.337671279907227,300
2003-01-09,16.399999618530273,17.200000762939453,13.800000190734863,13.800000190734863,10.01528549194336,400
2003-01-10,13.0,13.0,12.199999809265137,13.0,9.434687614440918,300
2003-01-13,12.0,13.399999618530273,11.0,11.0,7.983199119567871,2600
2003-01-14,10.199999809265137,10.399999618530273,9.600000381469727,9.600000381469727,6.9671549797058105,2100
2003-01-15,9.800000190734863,11.800000190734863,9.0,11.800000190734863,8.563796997070312,600
2003-01-16,12.0,12.800000190734863,12.0,12.399999618530273,8.99924087524414,500
2003-01-17,12.399999618530273,12.399999618530273,9.399999618530273,12.199999809265137,8.854094505310059,500
2003-01-21,12.0,12.199999809265137,9.800000190734863,10.0,7.257452487945557,100
2003-01-22,11.800000190734863,12.399999618530273,11.199999809265137,12.0,8.708945274353027,600
2003-01-23,12.0,12.0,10.0,10.0,7.257452487945557,400
2003-01-24,12.399999618530273,12.399999618530273,10.199999809265137,10.600000381469727,7.692899703979492,100
2003-01-27,10.399999618530273,11.800000190734863,10.399999618530273,11.800000190734863,8.563796997070312,200
2003-01-28,11.800000190734863,12.0,11.800000190734863,12.0,8.708945274353027,200
2003-01-29,11.0,11.800000190734863,10.0,11.800000190734863,8.563796997070312,200
2003-01-30,10.199999809265137,10.600000381469727,10.199999809265137,10.600000381469727,7.692899703979492,0
2003-01-31,10.199999809265137,11.800000190734863,10.199999809265137,10.399999618530273,7.547750473022461,0
2003-02-03,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,7.40260124206543,0
2003-02-04,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,7.40260124206543,0
2003-02-05,10.0,10.0,9.0,9.0,6.531707286834717,600
2003-02-06,9.199999809265137,10.0,9.199999809265137,9.399999618530273,6.822004795074463,200
2003-02-07,9.399999618530273,9.399999618530273,9.399999618530273,9.399999618530273,6.822004795074463,0
2003-02-10,9.399999618530273,9.399999618530273,9.399999618530273,9.399999618530273,6.822004795074463,0
2003-02-11,10.0,11.0,10.0,11.0,7.983199119567871,500
2003-02-12,11.0,11.0,11.0,11.0,7.983199119567871,0
2003-02-13,10.199999809265137,11.0,9.399999618530273,9.399999618530273,6.822004795074463,200
2003-02-14,9.399999618530273,11.0,9.0,9.800000190734863,7.112303733825684,400
2003-02-18,10.0,10.800000190734863,10.0,10.800000190734863,7.838049411773682,0
2003-02-19,11.0,11.0,10.0,10.399999618530273,7.547750473022461,400
2003-02-20,10.199999809265137,10.199999809265137,10.0,10.0,7.257452487945557,200
2003-02-21,10.0,10.0,10.0,10.0,7.257452487945557,0
2003-02-24,10.0,10.0,9.0,9.0,6.531707286834717,700
2003-02-25,9.0,10.0,9.0,10.0,7.257452487945557,0
2003-02-26,8.800000190734863,9.800000190734863,8.800000190734863,9.800000190734863,7.112303733825684,600
2003-02-27,8.199999809265137,9.800000190734863,8.199999809265137,9.800000190734863,7.112303733825684,600
2003-02-28,10.0,10.0,8.0,9.0,6.531707286834717,900
2003-03-03,9.0,10.0,9.0,10.0,7.257452487945557,200
2003-03-04,10.0,10.0,8.800000190734863,10.0,7.257452487945557,900
2003-03-05,9.0,10.0,9.0,10.0,7.257452487945557,100
2003-03-06,10.0,10.0,9.0,9.0,6.531707286834717,300
2003-03-07,8.199999809265137,9.0,8.0,8.399999618530273,6.096259117126465,200
2003-03-10,9.800000190734863,9.800000190734863,9.0,9.0,6.531707286834717,100
2003-03-11,9.600000381469727,9.600000381469727,9.0,9.199999809265137,6.6768574714660645,300
2003-03-12,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,6.9671549797058105,0
2003-03-13,10.0,10.0,9.800000190734863,9.800000190734863,7.112303733825684,200
2003-03-14,9.199999809265137,9.399999618530273,9.199999809265137,9.199999809265137,6.6768574714660645,400
2003-03-17,9.399999618530273,10.0,9.199999809265137,10.0,7.257452487945557,100
2003-03-18,10.0,10.0,9.199999809265137,9.800000190734863,7.112303733825684,100
2003-03-19,9.199999809265137,9.800000190734863,9.199999809265137,9.600000381469727,6.9671549797058105,200
2003-03-20,9.199999809265137,9.600000381469727,9.199999809265137,9.600000381469727,6.9671549797058105,0
2003-03-21,8.399999618530273,10.0,8.399999618530273,10.0,7.257452487945557,400
2003-03-24,10.0,10.600000381469727,10.0,10.600000381469727,7.692899703979492,100
2003-03-25,10.600000381469727,10.600000381469727,10.399999618530273,10.399999618530273,7.547750473022461,0
2003-03-26,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,5.951111316680908,0
2003-03-27,8.199999809265137,10.600000381469727,8.199999809265137,10.0,7.257452487945557,100
2003-03-28,10.0,10.0,10.0,10.0,7.257452487945557,0
2003-03-31,10.0,10.0,10.0,10.0,7.257452487945557,100
2003-04-01,8.0,8.0,8.0,8.0,5.805961608886719,400
2003-04-02,8.0,8.0,8.0,8.0,5.805961608886719,0
2003-04-03,8.0,8.0,8.0,8.0,5.805961608886719,0
2003-04-04,10.0,10.399999618530273,8.0,10.0,7.257452487945557,300
2003-04-07,10.600000381469727,10.600000381469727,10.0,10.0,7.257452487945557,0
2003-04-08,9.600000381469727,9.600000381469727,9.0,9.0,6.531707286834717,0
2003-04-09,9.0,9.0,9.0,9.0,6.531707286834717,100
2003-04-10,9.0,10.600000381469727,9.0,10.199999809265137,7.40260124206543,600
2003-04-11,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,7.547750473022461,0
2003-04-14,11.0,11.0,8.399999618530273,8.399999618530273,6.096259117126465,100
2003-04-15,6.400000095367432,8.399999618530273,6.400000095367432,8.399999618530273,6.096259117126465,800
2003-04-16,7.199999809265137,8.399999618530273,7.199999809265137,8.399999618530273,6.096259117126465,0
2003-04-17,10.399999618530273,10.399999618530273,8.0,8.0,5.805961608886719,100
2003-04-21,8.199999809265137,9.600000381469727,8.199999809265137,9.600000381469727,6.9671549797058105,300
2003-04-22,10.0,10.399999618530273,9.199999809265137,9.600000381469727,6.9671549797058105,200
2003-04-23,8.199999809265137,8.199999809265137,8.0,8.0,5.805961608886719,0
2003-04-24,9.600000381469727,10.600000381469727,8.0,9.600000381469727,6.9671549797058105,2400
2003-04-25,9.600000381469727,10.0,9.600000381469727,10.0,7.257452487945557,0
2003-04-28,8.0,10.600000381469727,8.0,10.600000381469727,7.692899703979492,100
2003-04-29,9.0,9.0,9.0,9.0,6.531707286834717,0
2003-04-30,8.399999618530273,10.600000381469727,8.399999618530273,10.600000381469727,7.692899703979492,700
2003-05-01,11.0,11.600000381469727,8.199999809265137,9.800000190734863,7.112303733825684,400
2003-05-02,9.399999618530273,10.0,9.399999618530273,10.0,7.257452487945557,0
2003-05-05,10.600000381469727,10.600000381469727,10.0,10.600000381469727,7.692899703979492,200
2003-05-06,10.600000381469727,10.600000381469727,9.600000381469727,9.600000381469727,6.9671549797058105,300
2003-05-07,9.600000381469727,9.600000381469727,8.399999618530273,8.399999618530273,6.096259117126465,100
2003-05-08,9.0,9.800000190734863,9.0,9.600000381469727,6.9671549797058105,300
2003-05-09,10.0,10.600000381469727,10.0,10.600000381469727,7.692899703979492,300
2003-05-12,9.199999809265137,10.600000381469727,9.199999809265137,9.399999618530273,6.822004795074463,400
2003-05-13,10.0,10.399999618530273,10.0,10.0,7.257452487945557,500
2003-05-14,10.0,10.600000381469727,10.0,10.600000381469727,7.692899703979492,300
2003-05-15,10.600000381469727,11.800000190734863,9.0,9.0,6.531707286834717,1900
2003-05-16,10.0,10.600000381469727,9.0,10.399999618530273,7.547750473022461,3400
2003-05-19,10.0,10.199999809265137,9.0,10.199999809265137,7.40260124206543,1400
2003-05-20,10.199999809265137,10.199999809265137,9.800000190734863,9.800000190734863,7.112303733825684,100
2003-05-21,11.0,11.0,8.199999809265137,8.600000381469727,6.2414093017578125,300
2003-05-22,9.0,10.0,8.199999809265137,10.0,7.257452487945557,100
2003-05-23,10.0,10.0,8.199999809265137,10.0,7.257452487945557,100
2003-05-27,10.0,15.0,10.0,14.800000190734863,10.741028785705566,2400
2003-05-28,13.600000381469727,15.0,13.399999618530273,14.0,10.160433769226074,3900
2003-05-29,14.399999618530273,14.399999618530273,13.0,14.199999809265137,10.305582046508789,1700
2003-05-30,12.0,14.399999618530273,10.0,14.0,10.160433769226074,2500
2003-06-02,14.399999618530273,14.399999618530273,13.600000381469727,14.399999618530273,10.450732231140137,2400
