Date,Open,High,Low,Close,Adj Close,Volume
1996-02-23,16.25,16.25,15.5,15.5625,13.357316970825195,4292700
1996-02-26,15.5,15.75,15.25,15.25,13.08909797668457,492900
1996-02-27,15.25,15.5,15.125,15.125,12.98180866241455,383800
1996-02-28,15.25,15.5,15.125,15.25,13.08909797668457,275300
1996-02-29,15.375,15.625,15.375,15.5,13.303674697875977,289200
1996-03-01,15.5,15.5,15.25,15.375,13.196388244628906,222300
1996-03-04,15.375,15.5,15.25,15.5,13.303674697875977,223100
1996-03-05,15.625,15.75,15.375,15.5,13.303674697875977,316300
1996-03-06,15.75,15.75,15.5,15.5,13.303674697875977,110300
1996-03-07,15.75,15.75,15.5,15.75,13.518248558044434,153900
1996-03-08,15.5,15.625,15.25,15.625,13.410957336425781,170100
1996-03-11,15.25,15.625,15.25,15.625,13.410957336425781,121700
1996-03-12,15.375,15.625,15.375,15.625,13.410957336425781,91500
1996-03-13,15.5,15.875,15.5,15.8125,13.571894645690918,87300
1996-03-14,15.875,16.5,15.75,15.75,13.518248558044434,270000
1996-03-15,15.875,16.125,15.625,15.875,13.625534057617188,205000
1996-03-18,15.875,16.0,15.5,15.75,13.518248558044434,279900
1996-03-19,16.375,16.625,15.625,15.875,13.625534057617188,274700
1996-03-20,15.875,15.875,15.625,15.75,13.518248558044434,114500
1996-03-21,15.625,16.0,15.625,16.0,13.732824325561523,34300
1996-03-22,15.75,16.125,15.75,15.875,13.625534057617188,37200
1996-03-25,15.75,16.125,15.75,16.125,13.840109825134277,98400
1996-03-26,15.875,16.125,15.875,15.875,13.625534057617188,88000
1996-03-27,16.0,16.125,15.75,15.75,13.518248558044434,72300
1996-03-28,15.75,16.0,15.75,16.0,13.732824325561523,27300
1996-03-29,15.75,16.0,15.75,16.0,13.732824325561523,21700
1996-04-01,15.75,16.0,15.75,16.0,13.732824325561523,27700
1996-04-02,15.75,16.0,15.75,15.875,13.625534057617188,25800
1996-04-03,15.75,16.0,15.75,15.875,13.625534057617188,7900
1996-04-04,15.75,16.0,15.75,15.75,13.518248558044434,60500
1996-04-08,15.75,15.875,15.375,15.75,13.569942474365234,36200
1996-04-09,15.75,15.75,15.375,15.5,13.354546546936035,21300
1996-04-10,15.75,16.0,15.5,15.75,13.569942474365234,71700
1996-04-11,16.125,16.125,15.75,15.75,13.569942474365234,61100
1996-04-12,16.125,16.125,15.75,15.75,13.569942474365234,36600
1996-04-15,15.875,16.25,15.75,15.75,13.569942474365234,39000
1996-04-16,15.75,16.25,15.75,15.75,13.569942474365234,42600
1996-04-17,15.75,16.25,15.75,16.25,14.000739097595215,8800
1996-04-18,15.75,16.25,15.75,15.75,13.569942474365234,59500
1996-04-19,16.25,16.25,15.75,16.0,13.785340309143066,14200
1996-04-22,16.25,16.25,15.75,15.875,13.677640914916992,9200
1996-04-23,16.25,16.25,15.75,16.125,13.893036842346191,18900
1996-04-24,16.0,16.25,15.75,16.0,13.785340309143066,116800
1996-04-25,15.875,16.125,15.875,15.875,13.677640914916992,47700
1996-04-26,15.875,15.875,15.875,15.875,13.677640914916992,500
1996-04-29,16.125,16.125,15.875,16.0,13.785340309143066,90400
1996-04-30,15.875,16.125,15.75,15.875,13.677640914916992,35300
1996-05-01,15.75,16.125,15.75,15.875,13.677640914916992,88000
1996-05-02,15.875,16.125,15.5,15.625,13.462244987487793,77400
1996-05-03,15.625,16.0,15.625,15.75,13.569942474365234,69500
1996-05-06,15.625,16.0,15.625,15.875,13.677640914916992,29300
1996-05-07,15.625,16.0,15.625,15.75,13.569942474365234,21400
1996-05-08,15.75,16.0,15.5,16.0,13.785340309143066,63200
1996-05-09,16.0,16.0,15.625,15.75,13.569942474365234,15000
1996-05-10,16.0,16.0,15.75,15.75,13.569942474365234,52800
1996-05-13,15.875,15.875,15.75,15.875,13.677640914916992,56000
1996-05-14,15.875,15.875,15.625,15.875,13.677640914916992,157100
1996-05-15,16.125,16.625,16.0,16.5,14.2161283493042,401300
1996-05-16,16.625,16.75,16.375,16.375,14.108429908752441,37300
1996-05-17,16.75,16.75,16.375,16.5,14.2161283493042,26800
1996-05-20,16.5,16.75,16.375,16.375,14.108429908752441,111400
1996-05-21,16.5,16.5,16.25,16.25,14.000739097595215,32500
1996-05-22,16.25,16.5,16.25,16.25,14.000739097595215,37500
1996-05-23,16.25,16.5,16.25,16.5,14.2161283493042,67700
1996-05-24,16.25,16.375,16.25,16.25,14.000739097595215,16800
1996-05-28,16.25,16.625,16.25,16.25,14.000739097595215,38300
1996-05-29,16.625,16.625,16.25,16.625,14.32382869720459,12900
1996-05-30,16.25,16.625,16.25,16.5,14.2161283493042,18900
1996-05-31,16.25,16.25,16.25,16.25,14.000739097595215,3000
1996-06-03,16.25,16.75,16.25,16.75,14.431523323059082,64800
