Date,Open,High,Low,Close,Adj Close,Volume
1987-05-20,0.0,7.0,6.75,6.875,3.193014621734619,202900
1987-05-21,0.0,7.0,6.75,6.875,3.193014621734619,46100
1987-05-22,0.0,7.0,6.75,6.875,3.193014621734619,63100
1987-05-26,0.0,7.25,6.875,7.0,3.2510693073272705,58100
1987-05-27,0.0,7.125,6.875,7.0,3.2510693073272705,26500
1987-05-28,0.0,7.0,6.875,6.875,3.193014621734619,22900
1987-05-29,0.0,7.0,6.875,7.0,3.2510693073272705,7600
1987-06-01,0.0,7.0,6.75,7.0,3.2510693073272705,8600
1987-06-02,0.0,7.0,6.75,7.0,3.2510693073272705,5900
1987-06-03,0.0,7.0,6.75,6.75,3.134958267211914,15700
1987-06-04,0.0,7.0,6.75,6.75,3.134958267211914,13100
1987-06-05,0.0,6.75,6.75,6.75,3.134958267211914,7500
1987-06-08,0.0,7.0,6.75,7.0,3.2510693073272705,5700
1987-06-09,0.0,7.0,6.75,7.0,3.2510693073272705,11600
1987-06-10,0.0,7.0,6.75,6.75,3.134958267211914,2800
1987-06-11,0.0,7.0,6.75,7.0,3.2510693073272705,11700
1987-06-12,0.0,7.0,6.75,6.75,3.134958267211914,6300
1987-06-15,0.0,6.75,6.75,6.75,3.134958267211914,1500
1987-06-16,0.0,7.0,6.75,6.75,3.134958267211914,11100
1987-06-17,0.0,7.0,6.75,7.0,3.2510693073272705,30700
1987-06-18,0.0,7.375,6.75,7.125,3.309124231338501,29300
1987-06-19,0.0,7.25,7.0,7.25,3.367178201675415,13400
1987-06-22,0.0,7.25,7.0,7.25,3.367178201675415,7700
1987-06-23,0.0,7.25,7.0,7.25,3.367178201675415,28000
1987-06-24,0.0,7.375,7.0,7.0,3.2510693073272705,12100
1987-06-25,0.0,7.0,7.0,7.0,3.2510693073272705,500
1987-06-26,0.0,7.5,7.0,7.0,3.2510693073272705,20100
1987-06-29,0.0,7.5,7.0,7.25,3.367178201675415,12100
1987-06-30,0.0,7.375,7.375,7.375,3.4252326488494873,100
1987-07-01,0.0,7.375,7.0,7.375,3.4252326488494873,3800
1987-07-02,0.0,7.375,7.25,7.25,3.367178201675415,2100
1987-07-06,0.0,7.0,7.0,7.0,3.2510693073272705,300
1987-07-07,0.0,7.375,6.875,6.875,3.193014621734619,3800
1987-07-08,6.875,6.875,6.875,6.875,3.193014621734619,0
1987-07-09,0.0,6.875,6.875,6.875,3.193014621734619,3500
1987-07-10,0.0,7.25,6.75,7.25,3.367178201675415,2800
1987-07-13,0.0,7.25,6.75,6.75,3.134958267211914,2900
1987-07-14,0.0,7.125,7.125,7.125,3.309124231338501,100
1987-07-15,0.0,6.75,6.75,6.75,3.134958267211914,1300
1987-07-16,0.0,7.125,6.875,6.875,3.193014621734619,8500
1987-07-17,0.0,6.625,6.625,6.625,3.0769054889678955,1000
1987-07-20,0.0,7.0,6.875,7.0,3.2510693073272705,5400
1987-07-21,0.0,7.0,6.625,6.75,3.134958267211914,10000
1987-07-22,0.0,7.0,6.625,6.625,3.0769054889678955,2000
1987-07-23,0.0,7.0,7.0,7.0,3.2510693073272705,500
1987-07-24,0.0,7.0,6.625,7.0,3.2510693073272705,6400
1987-07-27,0.0,6.625,6.625,6.625,3.108431816101074,500
1987-07-28,0.0,6.625,6.625,6.625,3.108431816101074,500
1987-07-29,0.0,6.875,6.25,6.5,3.0497848987579346,11300
1987-07-30,6.5,6.5,6.5,6.5,3.0497848987579346,0
1987-07-31,0.0,6.75,6.25,6.25,2.9324841499328613,1000
1987-08-03,0.0,6.75,6.25,6.25,2.9324841499328613,900
1987-08-04,0.0,6.25,6.125,6.25,2.9324841499328613,5000
1987-08-05,0.0,6.0,6.0,6.0,2.815183162689209,2000
1987-08-06,0.0,6.5,6.0,6.0,2.815183162689209,11500
1987-08-07,0.0,6.5,6.0,6.0,2.815183162689209,1800
1987-08-10,6.0,6.0,6.0,6.0,2.815183162689209,0
1987-08-11,0.0,6.5,5.75,6.25,2.9324841499328613,4000
1987-08-12,0.0,6.5,6.25,6.375,2.991133213043213,5500
1987-08-13,0.0,6.5,6.125,6.125,2.8738343715667725,8800
1987-08-14,6.125,6.125,6.125,6.125,2.8738343715667725,0
1987-08-17,0.0,6.5,6.5,6.5,3.0497848987579346,200
1987-08-18,0.0,6.5,6.5,6.5,3.0497848987579346,1000
1987-08-19,0.0,6.375,6.0,6.0,2.815183162689209,7900
1987-08-20,0.0,6.25,5.75,5.75,2.697885751724243,14100
1987-08-21,0.0,6.25,6.25,6.25,2.9324841499328613,700
1987-08-24,0.0,6.5,6.0,6.0,2.815183162689209,6200
1987-08-25,6.0,6.0,6.0,6.0,2.815183162689209,0
1987-08-26,6.0,6.0,6.0,6.0,2.815183162689209,0
1987-08-27,0.0,6.25,6.25,6.25,2.9324841499328613,100
1987-08-28,0.0,6.25,5.75,6.25,2.9324841499328613,1500
1987-08-31,6.25,6.25,6.25,6.25,2.9324841499328613,0
1987-09-01,0.0,6.25,6.0,6.25,2.9324841499328613,2700
1987-09-02,0.0,6.25,5.75,6.25,2.9324841499328613,4400
1987-09-03,6.25,6.25,6.25,6.25,2.9324841499328613,0
1987-09-04,0.0,5.625,5.5,5.5,2.5805864334106445,1500
1987-09-08,0.0,6.0,5.5,5.5,2.5805864334106445,5500
1987-09-09,0.0,6.0,5.625,5.625,2.639234781265259,1100
1987-09-10,0.0,5.5,5.5,5.5,2.5805864334106445,1000
1987-09-11,0.0,6.0,6.0,6.0,2.815183162689209,500
1987-09-14,0.0,6.25,5.625,6.25,2.9324841499328613,29700
1987-09-15,0.0,6.0,5.875,6.0,2.815183162689209,23000
1987-09-16,0.0,6.25,5.875,5.875,2.7565348148345947,1700
1987-09-17,0.0,6.125,5.75,5.75,2.697885751724243,7500
1987-09-18,0.0,6.125,5.75,6.125,2.8738343715667725,2800
1987-09-21,0.0,5.75,5.75,5.75,2.697885751724243,100
1987-09-22,5.75,5.75,5.75,5.75,2.697885751724243,0
1987-09-23,0.0,6.125,5.75,6.0,2.815183162689209,2300
1987-09-24,0.0,6.125,6.125,6.125,2.8738343715667725,200
