Date,Open,High,Low,Close,Adj Close,Volume
2015-05-15,24.940000534057617,25.5,24.469999313354492,24.5,17.843379974365234,526100
2015-05-18,24.40999984741211,24.989999771118164,23.200000762939453,23.75,17.297155380249023,777500
2015-05-19,23.670000076293945,24.020000457763672,23.450000762939453,23.56999969482422,17.166059494018555,1173000
2015-05-20,23.520000457763672,23.950000762939453,23.200000762939453,23.5,17.115079879760742,354600
2015-05-21,23.420000076293945,23.690000534057617,23.06999969482422,23.530000686645508,17.13692855834961,539600
2015-05-22,23.420000076293945,23.719999313354492,23.079999923706055,23.559999465942383,17.158781051635742,736400
2015-05-26,23.65999984741211,25.15999984741211,23.639999389648438,24.899999618530273,18.134700775146484,1401100
2015-05-27,24.56999969482422,26.149999618530273,24.440000534057617,26.010000228881836,18.943113327026367,1482900
2015-05-28,26.920000076293945,27.8700008392334,26.260000228881836,26.729999542236328,19.61834144592285,1510600
2015-05-29,26.93000030517578,27.31999969482422,26.729999542236328,27.06999969482422,19.86788558959961,1081400
2015-06-01,27.190000534057617,27.780000686645508,27.059999465942383,27.110000610351562,19.897245407104492,1047300
2015-06-02,27.219999313354492,28.110000610351562,26.389999389648438,27.06999969482422,19.86788558959961,714900
2015-06-03,27.290000915527344,27.3700008392334,26.559999465942383,27.010000228881836,19.823848724365234,706000
2015-06-04,27.010000228881836,27.059999465942383,25.920000076293945,26.239999771118164,19.258712768554688,605200
2015-06-05,26.200000762939453,26.729999542236328,26.0,26.59000015258789,19.515592575073242,349100
2015-06-08,26.690000534057617,26.81999969482422,26.43000030517578,26.600000381469727,19.522926330566406,331300
2015-06-09,26.68000030517578,26.790000915527344,25.700000762939453,26.239999771118164,19.258712768554688,581600
2015-06-10,26.260000228881836,26.940000534057617,26.06999969482422,26.219999313354492,19.244028091430664,482700
2015-06-11,26.030000686645508,26.459999084472656,25.530000686645508,26.010000228881836,19.089902877807617,428900
2015-06-12,25.8799991607666,26.0,25.34000015258789,25.459999084472656,18.686235427856445,458600
2015-06-15,25.600000381469727,25.729999542236328,24.93000030517578,24.940000534057617,18.304584503173828,319000
2015-06-16,25.049999237060547,25.239999771118164,24.81999969482422,24.8700008392334,18.253204345703125,474800
2015-06-17,24.84000015258789,25.110000610351562,24.489999771118164,24.770000457763672,18.1798095703125,623400
2015-06-18,25.049999237060547,25.360000610351562,24.280000686645508,24.420000076293945,17.922927856445312,957600
2015-06-19,24.459999084472656,25.059999465942383,24.360000610351562,24.469999313354492,17.959627151489258,930600
2015-06-22,25.0,25.139999389648438,24.540000915527344,24.579999923706055,18.040367126464844,495200
2015-06-23,23.670000076293945,23.799999237060547,22.5,22.639999389648438,16.616506576538086,3584900
2015-06-24,22.299999237060547,23.690000534057617,22.25,23.540000915527344,17.277055740356445,11887200
2015-06-25,23.520000457763672,23.709999084472656,23.239999771118164,23.5,17.247703552246094,2466000
2015-06-26,23.440000534057617,23.510000228881836,22.780000686645508,22.979999542236328,16.866050720214844,2322100
2015-06-29,22.780000686645508,23.030000686645508,22.15999984741211,22.190000534057617,16.286230087280273,1629000
2015-06-30,22.350000381469727,22.59000015258789,21.790000915527344,21.889999389648438,16.06605339050293,1697200
2015-07-01,21.829999923706055,22.360000610351562,21.440000534057617,21.56999969482422,15.831186294555664,3047400
2015-07-02,21.670000076293945,22.290000915527344,21.600000381469727,21.8799991607666,16.058713912963867,1798400
2015-07-06,21.670000076293945,22.139999389648438,21.649999618530273,22.100000381469727,16.22018051147461,1021600
2015-07-07,22.190000534057617,22.6299991607666,21.760000228881836,22.360000610351562,16.411001205444336,1478200
2015-07-08,22.579999923706055,22.579999923706055,21.84000015258789,22.1200008392334,16.2348575592041,718400
