Date,Open,High,Low,Close,Adj Close,Volume
2000-02-23,8.8125,8.9375,8.3125,8.375,1.6560744047164917,39100
2000-02-24,8.5,8.5,8.125,8.375,1.6560744047164917,53300
2000-02-25,8.5625,9.0,8.25,8.5,1.6807912588119507,68400
2000-02-28,8.5,8.6875,8.375,8.5625,1.6931507587432861,45600
2000-02-29,8.6875,8.6875,8.5,8.625,1.7055093050003052,44900
2000-03-01,8.6875,8.6875,8.5,8.5,1.6807912588119507,33100
2000-03-02,8.5,8.5,8.0625,8.3125,1.6437147855758667,94800
2000-03-03,8.375,8.625,8.25,8.375,1.6560744047164917,65700
2000-03-06,8.4375,8.5625,8.375,8.375,1.6560744047164917,40700
2000-03-07,8.1875,8.5,8.125,8.1875,1.6189980506896973,36200
2000-03-08,8.1875,8.25,8.0625,8.1875,1.6189980506896973,28000
2000-03-09,8.1875,8.625,8.125,8.625,1.7055093050003052,32400
2000-03-10,8.625,8.625,8.375,8.4375,1.6684329509735107,44400
2000-03-13,8.375,8.375,8.1875,8.3125,1.6437147855758667,35800
2000-03-14,8.4375,8.75,8.375,8.6875,1.7178683280944824,43300
2000-03-15,8.75,8.75,8.4375,8.5625,1.6931507587432861,49900
2000-03-16,8.5,8.625,8.5,8.5625,1.6931507587432861,25800
2000-03-17,8.6875,8.875,8.625,8.75,1.730226755142212,56800
2000-03-20,8.75,9.3125,8.75,8.875,1.7549446821212769,45500
2000-03-21,9.0625,9.375,9.0625,9.0625,1.792020559310913,52500
2000-03-22,8.8125,9.125,8.75,8.9375,1.767303228378296,64200
2000-03-23,8.8125,9.3125,8.8125,9.125,1.8043793439865112,59400
2000-03-24,9.0,9.5625,8.875,9.5625,1.890890121459961,40900
2000-03-27,9.625,9.9375,9.5625,9.875,1.9526838064193726,48800
2000-03-28,9.75,9.875,9.4375,9.875,1.9526838064193726,69800
2000-03-29,10.25,10.25,10.0625,10.125,2.002119779586792,49000
2000-03-30,10.0625,10.25,10.0625,10.125,2.002119779586792,36400
2000-03-31,10.25,10.375,10.125,10.25,2.026836633682251,68900
2000-04-03,10.3125,10.375,10.125,10.125,2.002119779586792,39200
2000-04-04,10.125,10.25,10.0625,10.25,2.026836633682251,46100
2000-04-05,10.25,10.25,10.0625,10.125,2.002119779586792,24100
2000-04-06,9.875,9.9375,9.75,9.75,1.9279671907424927,96100
2000-04-07,9.0625,9.8125,9.0625,9.5625,1.890890121459961,83200
2000-04-10,9.625,9.625,9.5,9.5625,1.890890121459961,31000
2000-04-11,9.625,9.625,9.5,9.5625,1.890890121459961,37500
2000-04-12,9.625,9.625,9.4375,9.5,1.8785326480865479,43500
2000-04-13,9.375,9.375,9.0,9.375,1.8538140058517456,89900
2000-04-14,9.375,9.375,9.0625,9.375,1.8538140058517456,83000
2000-04-17,9.375,9.4375,9.1875,9.4375,1.866173505783081,48800
2000-04-18,9.3125,9.375,9.1875,9.25,1.8290966749191284,35600
2000-04-19,9.25,9.5,9.125,9.4375,1.866173505783081,92900
2000-04-20,9.0,9.125,8.75,8.9375,1.825326919555664,64600
2000-04-24,8.8125,8.875,8.6875,8.8125,1.799798607826233,58100
2000-04-25,8.6875,8.875,8.5,8.6875,1.7742687463760376,87700
2000-04-26,8.625,8.75,8.375,8.6875,1.7742687463760376,72400
2000-04-27,8.625,8.6875,8.5,8.625,1.7615036964416504,41700
2000-04-28,8.6875,8.6875,8.4375,8.5625,1.7487399578094482,56600
2000-05-01,8.5625,8.625,8.375,8.4375,1.7232108116149902,67800
2000-05-02,8.5,8.6875,8.4375,8.4375,1.7232108116149902,35800
2000-05-03,8.5,9.5,8.4375,9.125,1.863620400428772,78900
2000-05-04,9.0,9.5,9.0,9.3125,1.9019145965576172,30100
2000-05-05,9.3125,9.5,9.3125,9.5,1.940208077430725,36900
2000-05-08,9.5,9.75,9.4375,9.5625,1.952971339225769,44000
2000-05-09,9.625,9.625,9.25,9.5625,1.952971339225769,88900
2000-05-10,9.375,9.5,9.0625,9.25,1.8891490697860718,47800
2000-05-11,9.125,9.125,9.0,9.0,1.838091492652893,30700
2000-05-12,9.0625,9.0625,8.9375,9.0,1.838091492652893,28500
2000-05-15,9.0,9.75,9.0,9.75,1.9912660121917725,72700
2000-05-16,9.625,9.625,9.125,9.1875,1.8763848543167114,24500
2000-05-17,9.0625,9.125,9.0,9.125,1.863620400428772,51400
2000-05-18,9.125,9.125,9.0625,9.0625,1.850856065750122,49400
2000-05-19,9.0625,9.0625,8.75,8.9375,1.825326919555664,54200
2000-05-22,8.9375,9.0625,8.875,9.0,1.838091492652893,30400
2000-05-23,9.0,9.0,8.8125,8.8125,1.799798607826233,36900
2000-05-24,8.9375,9.0,8.5,8.5625,1.7487399578094482,52300
2000-05-25,8.625,8.6875,8.625,8.625,1.7615036964416504,19500
2000-05-26,8.6875,8.9375,8.5,8.9375,1.825326919555664,51000
2000-05-30,8.8125,9.5,8.8125,9.5,1.940208077430725,45000
2000-05-31,9.4375,9.75,9.125,9.3125,1.9019145965576172,37400
2000-06-01,9.375,9.375,9.0625,9.0625,1.850856065750122,20500
2000-06-02,8.8125,8.9375,8.75,8.75,1.7870333194732666,36800
2000-06-05,8.75,8.875,8.75,8.8125,1.799798607826233,32600
2000-06-06,8.75,8.75,8.5625,8.5625,1.7487399578094482,71300
2000-06-07,8.625,8.6875,8.5625,8.5625,1.7487399578094482,28300
2000-06-08,8.5625,8.625,8.5,8.5,1.7359741926193237,42300
2000-06-09,8.5,8.5,8.3125,8.375,1.7104462385177612,64100
2000-06-12,8.375,8.4375,8.25,8.3125,1.6976810693740845,45000
2000-06-13,8.375,8.375,8.25,8.3125,1.6976810693740845,31900
2000-06-14,8.25,8.3125,8.1875,8.25,1.6849169731140137,42200
2000-06-15,8.3125,8.5,8.3125,8.3125,1.6976810693740845,29800
2000-06-16,8.3125,8.5625,8.3125,8.5,1.7359741926193237,45900
2000-06-19,8.25,8.5,8.25,8.3125,1.6976810693740845,43200
2000-06-20,8.1875,8.4375,8.1875,8.3125,1.6976810693740845,45800
2000-06-21,8.4375,8.4375,8.25,8.3125,1.6976810693740845,31900
2000-06-22,8.5625,8.5625,7.9375,8.3125,1.6976810693740845,67900
2000-06-23,8.3125,8.4375,8.25,8.25,1.6849169731140137,16900
2000-06-26,8.25,8.375,8.25,8.25,1.6849169731140137,18900
2000-06-27,8.25,8.4375,8.1875,8.1875,1.6721526384353638,33900
2000-06-28,8.0625,8.5,8.0625,8.5,1.7359741926193237,22500
2000-06-29,8.375,8.875,8.25,8.6875,1.7742687463760376,34000
2000-06-30,8.5625,8.875,7.296875,7.328125,1.4966402053833008,401300
2000-07-03,7.625,8.1875,7.625,8.0,1.6338589191436768,83000
2000-07-05,8.0625,8.0625,7.625,7.9375,1.6210944652557373,42400
2000-07-06,7.9375,8.125,7.9375,8.0625,1.646623134613037,51100
2000-07-07,8.0625,8.375,8.0,8.3125,1.6976810693740845,64300
2000-07-10,8.4375,8.4375,8.125,8.375,1.7104462385177612,23400
2000-07-11,8.25,8.875,8.25,8.625,1.7615036964416504,66100
