Date,Open,High,Low,Close,Adj Close,Volume
1987-01-21,10.125,10.125,10.0,10.125,0.6488446593284607,1827700
1987-01-22,10.125,10.375,10.125,10.375,0.6648658514022827,1310000
1987-01-23,10.375,10.5,10.25,10.375,0.6648658514022827,858700
1987-01-26,10.25,10.25,10.125,10.25,0.656854510307312,493500
1987-01-27,10.25,10.375,10.125,10.375,0.6648658514022827,517300
1987-01-28,10.375,10.5,10.25,10.5,0.6728762984275818,500100
1987-01-29,10.5,10.5,10.25,10.375,0.6648658514022827,504800
1987-01-30,10.375,10.375,10.25,10.25,0.656854510307312,393500
1987-02-02,10.375,10.375,10.25,10.25,0.656854510307312,453700
1987-02-03,10.375,10.5,10.25,10.5,0.6728762984275818,539100
1987-02-04,10.5,10.625,10.375,10.625,0.6808868646621704,449300
1987-02-05,10.625,10.75,10.5,10.5,0.6728762984275818,472600
1987-02-06,10.75,10.75,10.625,10.625,0.6808868646621704,352900
1987-02-09,10.75,10.75,10.5,10.5,0.6728762984275818,387200
1987-02-10,10.75,10.75,10.5,10.625,0.6808868646621704,339500
1987-02-11,10.625,10.875,10.625,10.75,0.6888972520828247,469800
1987-02-12,10.75,10.875,10.625,10.75,0.6888972520828247,361800
1987-02-13,10.75,10.75,10.5,10.5,0.6728762984275818,346100
1987-02-17,10.625,10.625,10.5,10.5,0.6728762984275818,331100
1987-02-18,10.625,10.625,10.375,10.375,0.6648658514022827,384800
1987-02-19,10.5,10.5,10.375,10.375,0.6648658514022827,274100
1987-02-20,10.5,10.5,10.375,10.375,0.6648658514022827,288400
1987-02-23,10.375,10.5,10.25,10.375,0.6674392819404602,226500
1987-02-24,10.5,10.5,10.25,10.25,0.659398078918457,212200
1987-02-25,10.375,10.5,10.25,10.25,0.659398078918457,211300
1987-02-26,10.375,10.5,10.25,10.375,0.6674392819404602,188900
1987-02-27,10.375,10.5,10.25,10.5,0.6754804253578186,201000
1987-03-02,10.375,10.5,10.25,10.375,0.6674392819404602,183500
1987-03-03,10.375,10.5,10.25,10.375,0.6674392819404602,191600
1987-03-04,10.5,10.5,10.25,10.25,0.659398078918457,162500
1987-03-05,10.375,10.375,10.25,10.25,0.659398078918457,174200
1987-03-06,10.375,10.375,10.25,10.375,0.6674392819404602,166400
1987-03-09,10.375,10.375,10.25,10.25,0.659398078918457,217500
1987-03-10,10.25,10.375,10.25,10.25,0.659398078918457,205900
1987-03-11,10.375,10.5,10.125,10.25,0.659398078918457,783100
1987-03-12,10.375,10.375,10.25,10.25,0.659398078918457,162100
1987-03-13,10.125,10.25,10.125,10.125,0.6513566374778748,241000
1987-03-16,10.25,10.25,10.125,10.125,0.6513566374778748,156500
1987-03-17,10.125,10.25,10.125,10.125,0.6513566374778748,229300
1987-03-18,10.125,10.25,10.0,10.0,0.6433149576187134,239600
1987-03-19,10.125,10.125,10.0,10.0,0.6433149576187134,221900
1987-03-20,10.125,10.125,10.0,10.0,0.6433149576187134,200700
1987-03-23,10.0,10.125,10.0,10.125,0.6513566374778748,155900
1987-03-24,10.125,10.125,10.0,10.0,0.6433149576187134,207700
1987-03-25,10.125,10.125,10.0,10.125,0.6543006896972656,170800
1987-03-26,10.0,10.125,10.0,10.0,0.6462228298187256,140800
1987-03-27,10.0,10.125,10.0,10.0,0.6462228298187256,111900
1987-03-30,10.0,10.125,10.0,10.125,0.6543006896972656,202200
1987-03-31,10.0,10.125,10.0,10.0,0.6462228298187256,240400
1987-04-01,10.0,10.125,10.0,10.0,0.6462228298187256,334300
1987-04-02,10.0,10.125,10.0,10.0,0.6462228298187256,275900
1987-04-03,10.0,10.125,10.0,10.125,0.6543006896972656,258700
1987-04-06,10.0,10.125,10.0,10.0,0.6462228298187256,230200
1987-04-07,10.0,10.125,10.0,10.0,0.6462228298187256,326600
1987-04-08,10.0,10.125,10.0,10.0,0.6462228298187256,385300
1987-04-09,10.0,10.125,10.0,10.0,0.6462228298187256,497100
1987-04-10,10.0,10.125,10.0,10.0,0.6462228298187256,634000
1987-04-13,10.0,10.125,10.0,10.125,0.6543006896972656,898000
1987-04-14,9.875,10.0,9.5,9.5,0.6139113306999207,965700
1987-04-15,9.5,9.5,9.375,9.375,0.6058343052864075,238000
1987-04-16,9.5,9.625,9.375,9.625,0.6219893097877502,162300
1987-04-20,9.625,9.625,9.375,9.375,0.6058343052864075,179600
1987-04-21,9.5,9.5,9.375,9.375,0.6058343052864075,121900
1987-04-22,9.375,9.5,9.25,9.25,0.5977561473846436,211700
1987-04-23,9.25,9.25,9.25,9.25,0.5977561473846436,114500
1987-04-24,9.0,9.25,9.0,9.0,0.5847616195678711,135800
1987-04-27,9.0,9.125,8.75,9.0,0.5847616195678711,166300
1987-04-28,9.0,9.0,8.875,9.0,0.5847616195678711,219500
1987-04-29,9.0,9.375,9.0,9.125,0.5928830504417419,139400
1987-04-30,9.125,9.375,9.125,9.125,0.5928830504417419,260100
1987-05-01,9.25,9.25,9.125,9.125,0.5928830504417419,127600
1987-05-04,9.125,9.5,9.125,9.25,0.6010050773620605,203900
1987-05-05,9.375,9.625,9.375,9.5,0.6172479391098022,223000
1987-05-06,9.5,9.5,9.375,9.375,0.6091265678405762,95700
1987-05-07,9.375,9.5,9.375,9.5,0.6172479391098022,108400
1987-05-08,9.5,9.5,9.375,9.375,0.6091265678405762,93500
1987-05-11,9.375,9.375,9.375,9.375,0.6091265678405762,91200
1987-05-12,9.25,9.375,9.25,9.25,0.6010050773620605,116900
1987-05-13,9.25,9.375,9.125,9.25,0.6010050773620605,98000
1987-05-14,9.125,9.25,9.125,9.25,0.6010050773620605,122200
1987-05-15,9.0,9.25,9.0,9.0,0.5847616195678711,235600
1987-05-18,9.0,9.125,8.875,9.125,0.5928830504417419,148700
1987-05-19,9.125,9.125,9.0,9.0,0.5847616195678711,87400
1987-05-20,9.0,9.0,8.75,9.0,0.5847616195678711,159700
1987-05-21,9.0,9.0,8.75,9.0,0.5847616195678711,98600
1987-05-22,8.875,8.875,8.75,8.875,0.5801854133605957,82200
1987-05-26,8.75,8.875,8.75,8.875,0.5801854133605957,205400
1987-05-27,8.875,8.875,8.75,8.75,0.5720135569572449,109300
1987-05-28,8.875,9.0,8.75,9.0,0.588357150554657,170300
1987-05-29,9.0,9.0,8.875,9.0,0.588357150554657,114500
1987-06-01,9.0,9.0,8.875,9.0,0.588357150554657,106900
1987-06-02,9.0,9.0,8.75,8.75,0.5720135569572449,75500
1987-06-03,8.875,8.875,8.75,8.875,0.5801854133605957,107200
1987-06-04,8.875,8.875,8.75,8.875,0.5801854133605957,122900
1987-06-05,8.875,9.0,8.75,8.875,0.5801854133605957,131500
1987-06-08,8.875,9.0,8.75,8.875,0.5801854133605957,86000
1987-06-09,8.875,9.0,8.75,9.0,0.588357150554657,142900
1987-06-10,9.0,9.0,8.875,9.0,0.588357150554657,110600
1987-06-11,9.0,9.125,8.875,9.0,0.588357150554657,121300
1987-06-12,9.0,9.0,8.875,9.0,0.588357150554657,108900
1987-06-15,9.0,9.125,8.875,9.0,0.588357150554657,222000
1987-06-16,9.0,9.0,8.875,9.0,0.588357150554657,118800
1987-06-17,9.0,9.125,8.875,9.125,0.5965287089347839,130100
1987-06-18,9.0,9.125,9.0,9.125,0.5965287089347839,153900
1987-06-19,9.125,9.125,9.0,9.125,0.5965287089347839,136700
1987-06-22,9.125,9.25,9.0,9.125,0.5965287089347839,199600
1987-06-23,9.125,9.25,9.125,9.25,0.6047002077102661,187000
1987-06-24,9.125,9.25,9.125,9.125,0.6004226207733154,78400
1987-06-25,9.25,9.25,9.0,9.0,0.5921982526779175,112600
1987-06-26,9.125,9.125,9.0,9.0,0.5921982526779175,61900
1987-06-29,9.125,9.125,8.875,9.125,0.6004226207733154,154200
1987-06-30,9.0,9.125,8.875,9.0,0.5921982526779175,93200
1987-07-01,8.875,9.0,8.875,9.0,0.5921982526779175,94300
1987-07-02,8.875,9.125,8.875,9.125,0.6004226207733154,82000
1987-07-06,9.125,9.125,9.0,9.125,0.6004226207733154,79600
1987-07-07,9.0,9.125,9.0,9.0,0.5921982526779175,232900
1987-07-08,9.0,9.0,8.875,8.875,0.5839729309082031,126900
1987-07-09,9.0,9.0,8.875,8.875,0.5839729309082031,119500
1987-07-10,9.0,9.0,8.875,8.875,0.5839729309082031,96400
1987-07-13,9.0,9.125,8.875,9.0,0.5921982526779175,122600
1987-07-14,9.0,9.125,9.0,9.0,0.5921982526779175,109700
1987-07-15,9.0,9.0,8.875,9.0,0.5921982526779175,134900
1987-07-16,8.875,9.0,8.875,8.875,0.5839729309082031,133300
1987-07-17,8.875,9.0,8.875,9.0,0.5921982526779175,148200
1987-07-20,8.875,9.0,8.875,8.875,0.5839729309082031,157600
1987-07-21,8.875,9.0,8.875,8.875,0.5839729309082031,125000
1987-07-22,8.875,9.0,8.875,9.0,0.5921982526779175,150200
1987-07-23,8.875,9.0,8.875,9.0,0.5921982526779175,161500
1987-07-24,8.875,9.0,8.875,8.875,0.5839729309082031,134100
1987-07-27,8.875,8.875,8.625,8.875,0.5879479646682739,93500
1987-07-28,8.875,8.875,8.625,8.875,0.5879479646682739,115100
1987-07-29,8.75,8.875,8.75,8.875,0.5879479646682739,120100
1987-07-30,8.875,8.875,8.5,8.625,0.5713858604431152,230500
1987-07-31,8.625,8.75,8.375,8.625,0.5713858604431152,234200
1987-08-03,8.5,8.625,8.375,8.625,0.5713858604431152,115900
1987-08-04,8.625,8.625,8.5,8.625,0.5713858604431152,135100
1987-08-05,8.5,8.75,8.5,8.75,0.5796671509742737,190400
1987-08-06,8.625,8.75,8.625,8.625,0.5713858604431152,213000
1987-08-07,8.75,8.875,8.625,8.875,0.5879479646682739,112800
1987-08-10,8.875,8.875,8.625,8.875,0.5879479646682739,145900
1987-08-11,8.75,9.0,8.75,8.875,0.5879479646682739,628900
1987-08-12,8.875,9.0,8.75,8.875,0.5879479646682739,207600
1987-08-13,8.875,9.125,8.75,9.0,0.5962289571762085,598700
1987-08-14,9.0,9.125,8.875,9.0,0.5962289571762085,134900
1987-08-17,9.0,9.125,9.0,9.125,0.6045094132423401,153100
1987-08-18,9.0,9.125,9.0,9.125,0.6045094132423401,134800
1987-08-19,9.0,9.0,8.875,9.0,0.5962289571762085,151900
1987-08-20,9.0,9.0,8.875,9.0,0.5962289571762085,153000
1987-08-21,9.0,9.125,8.875,9.125,0.6045094132423401,195900
1987-08-24,9.0,9.125,8.875,9.125,0.6045094132423401,155100
1987-08-25,9.0,9.125,8.875,9.0,0.6001752018928528,111300
1987-08-26,8.875,9.125,8.875,9.0,0.6001752018928528,166200
1987-08-27,8.875,9.0,8.75,9.0,0.6001752018928528,173400
1987-08-28,9.0,9.0,8.75,8.875,0.5918399095535278,111200
1987-08-31,8.875,8.875,8.75,8.75,0.583503782749176,106200
1987-09-01,8.75,8.875,8.75,8.875,0.5918399095535278,198000
1987-09-02,8.875,8.875,8.625,8.875,0.5918399095535278,104800
1987-09-03,8.75,8.875,8.625,8.75,0.583503782749176,166300
1987-09-04,8.75,8.75,8.5,8.5,0.5668320655822754,149800
1987-09-08,8.5,8.625,8.375,8.5,0.5668320655822754,172100
1987-09-09,8.5,8.625,8.375,8.625,0.5751681923866272,164800
1987-09-10,8.5,8.625,8.5,8.625,0.5751681923866272,166400
1987-09-11,8.5,8.625,8.5,8.625,0.5751681923866272,149500
1987-09-14,8.5,8.625,8.5,8.5,0.5668320655822754,283000
1987-09-15,8.375,8.5,8.375,8.5,0.5668320655822754,191700
1987-09-16,8.375,8.5,8.25,8.375,0.5584969520568848,153100
1987-09-17,8.25,8.375,8.25,8.375,0.5584969520568848,290400
1987-09-18,8.25,8.5,8.25,8.25,0.5501610040664673,178000
1987-09-21,8.25,8.5,8.25,8.25,0.5501610040664673,187400
1987-09-22,8.25,8.5,8.25,8.5,0.5668320655822754,171900
1987-09-23,8.5,8.5,8.375,8.5,0.5668320655822754,188800
1987-09-24,8.375,8.375,8.25,8.375,0.562467098236084,148700
1987-09-25,8.25,8.375,8.25,8.375,0.562467098236084,131000
1987-09-28,8.375,8.375,8.25,8.375,0.562467098236084,156500
1987-09-29,8.375,8.5,8.25,8.5,0.5708614587783813,143000
1987-09-30,8.375,8.5,8.25,8.5,0.5708614587783813,108100
