Date,Open,High,Low,Close,Adj Close,Volume
1986-06-23,0.0,9.875,9.75,9.875,0.6672877073287964,33100
1986-06-24,0.0,9.875,9.75,9.875,0.6672877073287964,25900
1986-06-25,0.0,9.875,9.75,9.75,0.6588409543037415,20300
1986-06-26,0.0,9.875,9.75,9.875,0.6672877073287964,18300
1986-06-27,0.0,10.125,9.75,10.125,0.6841809749603271,5700
1986-06-30,0.0,10.0,9.75,9.75,0.6588409543037415,11700
1986-07-01,0.0,10.0,9.75,9.875,0.6672877073287964,7200
1986-07-02,0.0,10.125,9.75,10.0,0.6757339835166931,22400
1986-07-03,0.0,10.125,9.75,9.875,0.6672877073287964,6200
1986-07-07,0.0,10.0,9.75,9.75,0.6588409543037415,4100
1986-07-08,0.0,10.0,9.75,9.75,0.6588409543037415,14800
1986-07-09,0.0,9.875,9.75,9.75,0.6588409543037415,7400
1986-07-10,0.0,10.0,9.75,9.875,0.6672877073287964,12800
1986-07-11,0.0,10.0,9.75,9.875,0.6672877073287964,7700
1986-07-14,0.0,9.875,9.75,9.875,0.6672877073287964,4100
1986-07-15,0.0,10.0,9.75,10.0,0.6757339835166931,11800
1986-07-16,0.0,10.0,9.75,9.875,0.6672877073287964,8400
1986-07-17,0.0,10.0,9.75,10.0,0.6757339835166931,5500
1986-07-18,0.0,10.0,9.875,10.0,0.6757339835166931,4900
1986-07-21,0.0,10.0,10.0,10.0,0.6757339835166931,1600
1986-07-22,0.0,10.0,9.875,9.875,0.6672877073287964,5700
1986-07-23,0.0,10.0,9.875,10.0,0.6757339835166931,6100
1986-07-24,0.0,10.0,9.875,10.0,0.6757339835166931,6000
1986-07-25,0.0,10.0,9.875,9.875,0.6672877073287964,300
1986-07-28,0.0,10.125,9.875,10.125,0.6841809749603271,2900
1986-07-29,0.0,10.125,9.875,10.125,0.6841809749603271,8900
1986-07-30,0.0,10.25,10.125,10.25,0.6926273703575134,1100
1986-07-31,0.0,10.125,10.125,10.125,0.6841809749603271,1500
1986-08-01,0.0,10.25,10.25,10.25,0.6926273703575134,3100
1986-08-04,0.0,10.375,10.125,10.125,0.6841809749603271,4500
1986-08-05,0.0,10.375,10.0,10.25,0.6926273703575134,6500
1986-08-06,0.0,10.25,10.125,10.25,0.6926273703575134,1800
1986-08-07,0.0,10.25,10.125,10.125,0.6841809749603271,3200
1986-08-08,0.0,10.25,10.0,10.125,0.6841809749603271,5100
1986-08-11,0.0,10.25,10.0,10.25,0.6926273703575134,3500
1986-08-12,0.0,10.25,10.125,10.25,0.6926273703575134,2300
1986-08-13,0.0,10.25,10.125,10.125,0.6841809749603271,2200
1986-08-14,0.0,10.375,10.125,10.375,0.7010740041732788,3700
1986-08-15,0.0,10.25,10.25,10.25,0.6926273703575134,2500
1986-08-18,0.0,10.375,10.25,10.375,0.7010740041732788,4600
1986-08-19,0.0,10.375,10.25,10.375,0.7010740041732788,6900
1986-08-20,0.0,10.5,10.0,10.0,0.6757339835166931,13200
1986-08-21,0.0,10.125,10.0,10.0,0.6757339835166931,11900
1986-08-22,0.0,10.375,10.125,10.25,0.6926273703575134,2900
1986-08-25,0.0,10.25,10.125,10.25,0.6926273703575134,3200
1986-08-26,0.0,10.25,10.125,10.25,0.6926273703575134,1000
1986-08-27,0.0,10.25,10.125,10.125,0.6841809749603271,1700
1986-08-28,0.0,10.375,10.125,10.375,0.7010740041732788,2800
1986-08-29,0.0,10.5,10.25,10.5,0.7095212936401367,2900
1986-09-02,0.0,10.5,10.125,10.125,0.6841809749603271,3900
1986-09-03,0.0,10.375,10.125,10.25,0.6926273703575134,8000
1986-09-04,0.0,10.5,10.25,10.5,0.7095212936401367,7000
1986-09-05,0.0,10.5,10.375,10.375,0.7010740041732788,3100
1986-09-08,0.0,10.75,10.375,10.75,0.7264145016670227,7100
1986-09-09,0.0,10.75,10.5,10.5,0.7095212936401367,8500
1986-09-10,0.0,10.375,10.25,10.375,0.7010740041732788,7400
1986-09-11,0.0,10.375,10.0,10.0,0.6757339835166931,10900
1986-09-12,0.0,10.375,9.875,10.375,0.7010740041732788,10900
1986-09-15,0.0,10.375,10.0,10.0,0.6757339835166931,7000
1986-09-16,0.0,10.0,9.875,9.875,0.6672877073287964,5000
1986-09-17,0.0,10.25,10.0,10.25,0.6926273703575134,2300
1986-09-18,0.0,10.375,10.125,10.25,0.6926273703575134,2000
1986-09-19,0.0,10.375,10.125,10.375,0.7010740041732788,2300
1986-09-22,0.0,10.375,10.125,10.125,0.6841809749603271,12700
1986-09-23,0.0,10.25,10.0,10.0,0.6757339835166931,6100
1986-09-24,0.0,10.25,10.125,10.125,0.6841809749603271,6400
