Date,Open,High,Low,Close,Adj Close,Volume
1986-07-18,0.0,9.875,9.75,9.75,1.7952470779418945,407400
1986-07-21,0.0,9.875,9.75,9.75,1.7952470779418945,185300
1986-07-22,0.0,9.75,9.625,9.625,1.7722309827804565,69300
1986-07-23,0.0,9.75,9.625,9.75,1.7952470779418945,111100
1986-07-24,0.0,9.75,9.625,9.625,1.7722309827804565,38400
1986-07-25,0.0,10.0,9.625,10.0,1.8412789106369019,61100
1986-07-28,0.0,9.875,9.75,9.875,1.818263053894043,28400
1986-07-29,0.0,9.75,9.625,9.75,1.7952470779418945,51500
1986-07-30,0.0,9.625,9.625,9.625,1.7722309827804565,22100
1986-07-31,0.0,9.625,9.5,9.625,1.7722309827804565,27200
1986-08-01,0.0,9.625,9.5,9.5,1.7492146492004395,4700
1986-08-04,0.0,9.625,9.5,9.5,1.7492146492004395,13900
1986-08-05,0.0,9.5,9.5,9.5,1.7492146492004395,17700
1986-08-06,0.0,9.5,9.375,9.5,1.7492146492004395,15700
1986-08-07,0.0,9.5,9.375,9.375,1.7261987924575806,6800
1986-08-08,0.0,9.375,9.25,9.375,1.7261987924575806,29300
1986-08-11,0.0,9.625,9.375,9.5,1.7492146492004395,18400
1986-08-12,0.0,9.875,9.75,9.75,1.7952470779418945,42400
1986-08-13,0.0,10.375,9.875,10.0,1.8412789106369019,56900
1986-08-14,0.0,10.5,10.0,10.0,1.8412789106369019,80400
1986-08-15,0.0,10.875,10.375,10.375,1.9103270769119263,57000
1986-08-18,0.0,10.75,9.875,10.125,1.8642947673797607,83500
1986-08-19,0.0,10.25,10.0,10.0,1.8412789106369019,47800
1986-08-20,0.0,10.0,9.75,10.0,1.8412789106369019,59900
1986-08-21,0.0,10.375,9.75,10.375,1.9103270769119263,23600
1986-08-22,0.0,10.75,10.375,10.75,1.9793754816055298,118900
1986-08-25,0.0,11.125,10.875,11.0,2.0254065990448,118200
1986-08-26,0.0,11.125,10.875,11.0,2.0254065990448,100500
1986-08-27,0.0,11.0,10.625,11.0,2.0254065990448,162300
1986-08-28,0.0,10.75,10.5,10.75,1.9793754816055298,61400
1986-08-29,0.0,10.75,10.375,10.625,1.956358790397644,79400
1986-09-02,0.0,11.0,10.75,11.0,2.0254065990448,57200
1986-09-03,0.0,10.875,10.25,10.875,2.0023908615112305,73500
1986-09-04,0.0,11.0,10.5,11.0,2.0254065990448,39600
1986-09-05,0.0,11.0,10.5,10.625,1.956358790397644,55400
1986-09-08,0.0,10.625,10.375,10.625,1.956358790397644,35300
1986-09-09,0.0,10.5,10.375,10.5,1.933342456817627,29400
