Date,Open,High,Low,Close,Adj Close,Volume
2000-07-11,10.875,11.625,10.25,11.1875,10.918045043945312,12890300
2000-07-12,12.25,12.4375,11.0625,12.1875,11.893959999084473,2817200
2000-07-13,12.4375,14.75,12.375,14.1875,13.845788955688477,2680400
2000-07-14,14.5625,15.25,12.875,13.25,12.930869102478027,1428900
2000-07-17,13.625,13.625,12.75,13.0625,12.747886657714844,521700
2000-07-18,12.625,12.9375,12.0625,12.5,12.198934555053711,511100
2000-07-19,12.6875,13.0625,11.9375,12.375,12.076942443847656,709100
2000-07-20,12.4375,12.75,11.75,11.8125,11.527993202209473,492600
2000-07-21,11.9375,12.0,11.0625,11.375,11.101028442382812,751800
2000-07-24,11.75,12.5,11.375,12.0,11.71097469329834,724900
2000-07-25,12.21875,12.5,11.625,11.75,11.466998100280762,629900
2000-07-26,11.5,11.875,11.125,11.75,11.466998100280762,528600
2000-07-27,11.6875,11.6875,9.5,10.25,10.003127098083496,830400
2000-07-28,10.375,10.625,9.5,9.8125,9.576162338256836,425900
2000-07-31,9.5625,9.6875,7.75,9.625,9.39317798614502,941700
2000-08-01,9.8125,10.0,9.0,9.4375,9.210193634033203,265900
2000-08-02,9.4375,9.5,8.875,9.0625,8.844226837158203,184200
2000-08-03,8.25,8.875,7.875,8.875,8.661242485046387,354900
2000-08-04,9.5,10.125,9.1875,9.9375,9.698149681091309,373500
2000-08-07,10.1875,10.25,8.5,9.21875,8.996712684631348,402000
2000-08-08,9.375,9.875,8.125,8.4375,8.234280586242676,659500
2000-08-09,8.5625,8.625,8.0,8.125,7.929306983947754,442000
2000-08-10,8.1875,8.25,7.5,7.5,7.319358825683594,428400
2000-08-11,7.5625,7.6875,7.0,7.25,7.075382232666016,708100
2000-08-14,7.359375,7.5,7.0,7.375,7.197370529174805,1109700
2000-08-15,7.875,9.96875,7.8125,8.75,8.539251327514648,2361500
2000-08-16,9.375,9.375,8.625,8.75,8.539251327514648,701100
2000-08-17,8.875,9.875,8.75,9.4375,9.210193634033203,876500
2000-08-18,10.3125,11.5,10.0625,11.0625,10.796053886413574,1266700
2000-08-21,11.125,12.0,10.875,11.0625,10.796053886413574,833800
2000-08-22,11.1875,11.25,10.75,10.8125,10.552077293395996,330700
2000-08-23,10.59375,10.625,9.5,10.125,9.881134986877441,360900
2000-08-24,10.25,11.0625,10.25,11.0,10.735061645507812,402900
2000-08-25,10.6875,10.875,10.0,10.875,10.613072395324707,164300
2000-08-28,10.875,11.25,10.75,10.9375,10.674068450927734,221700
2000-08-29,10.96875,11.125,10.5,11.125,10.857049942016602,206700
2000-08-30,11.09375,11.25,10.75,10.875,10.613072395324707,224300
2000-08-31,10.9375,11.25,10.75,11.125,10.857049942016602,254500
2000-09-01,11.125,11.375,10.75,11.0,10.735061645507812,147200
2000-09-05,11.0,11.0,10.5625,10.71875,10.460585594177246,117800
2000-09-06,10.90625,11.125,9.875,10.0625,9.820140838623047,322000
2000-09-07,10.0625,10.75,10.0,10.5625,10.308097839355469,114400
2000-09-08,10.625,11.0,10.375,10.5625,10.308097839355469,234300
2000-09-11,10.5,10.875,10.3125,10.5625,10.308097839355469,163500
2000-09-12,10.71875,11.0,10.125,10.25,10.003127098083496,203600
2000-09-13,10.375,10.5,10.125,10.125,9.881134986877441,157800
2000-09-14,10.125,10.875,10.125,10.8125,10.552077293395996,197200
2000-09-15,10.875,10.875,9.9375,10.0,9.759148597717285,224500
2000-09-18,10.09375,10.125,9.3125,9.4375,9.210193634033203,181500
2000-09-19,9.46875,9.75,9.375,9.625,9.39317798614502,122800
2000-09-20,9.5625,10.125,8.875,9.25,9.02721118927002,127600
2000-09-21,9.75,9.75,9.0,9.125,8.905220985412598,92300
2000-09-22,8.5,9.0,7.890625,8.8125,8.600247383117676,97900
2000-09-25,9.03125,9.25,8.625,8.6875,8.478260040283203,109900
2000-09-26,8.9375,9.3125,8.6875,8.875,8.661242485046387,248300
2000-09-27,9.125,9.125,7.9375,8.375,8.173285484313965,121600
2000-09-28,8.5,9.125,8.375,9.125,8.905220985412598,115200
2000-09-29,9.25,10.5,9.0,9.5625,9.332184791564941,872500
2000-10-02,9.9375,10.125,9.625,9.6875,9.454174041748047,535100
2000-10-03,9.9375,10.0,8.875,8.9375,8.722235679626465,210100
2000-10-04,9.0,9.625,9.0,9.375,9.149199485778809,82600
2000-10-05,9.75,9.75,8.875,9.375,9.149199485778809,77400
2000-10-06,9.4375,9.5,7.5,8.125,7.929306983947754,275000
2000-10-09,8.625,9.125,8.375,8.9375,8.722235679626465,166000
2000-10-10,8.9375,9.125,8.625,8.6875,8.478260040283203,117000
2000-10-11,8.5625,9.25,7.75,9.0,8.783232688903809,199500
2000-10-12,9.375,9.625,9.25,9.375,9.149199485778809,697600
2000-10-13,9.421875,9.5,9.25,9.375,9.149199485778809,154200
2000-10-16,9.5,9.5,9.25,9.375,9.149199485778809,286100
2000-10-17,9.359375,9.375,9.0,9.0,8.783232688903809,320600
2000-10-18,9.0,9.375,8.875,9.3125,9.088205337524414,108000
2000-10-19,9.125,10.0,9.0,9.5,9.27118968963623,119000
2000-10-20,9.515625,10.5,9.5,9.90625,9.66765308380127,350100
2000-10-23,9.921875,10.0,9.5,9.625,9.39317798614502,107700
2000-10-24,9.640625,10.0,9.0,9.0625,8.844226837158203,56400
2000-10-25,8.875,9.0625,8.625,8.8125,8.600247383117676,49200
2000-10-26,8.859375,9.125,8.625,9.0625,8.844226837158203,232100
2000-10-27,9.203125,9.25,8.8125,8.875,8.661242485046387,130100
2000-10-30,9.0,9.125,8.625,8.625,8.417265892028809,19500
2000-10-31,8.875,9.4375,8.75,8.9375,8.722235679626465,176400
2000-11-01,8.875,9.125,7.375,8.75,8.539251327514648,237500
2000-11-02,8.6875,9.0,8.25,8.5,8.29527473449707,78700
2000-11-03,8.375,8.625,8.125,8.4375,8.234280586242676,76100
2000-11-06,8.546875,8.5625,8.4375,8.5,8.29527473449707,72100
2000-11-07,8.5625,8.625,8.375,8.5,8.29527473449707,52600
2000-11-08,8.5,8.625,8.125,8.625,8.417265892028809,54300
2000-11-09,8.125,8.5,7.875,8.0,7.807317733764648,124300
2000-11-10,7.65625,7.875,7.5,7.6875,7.502343654632568,150300
2000-11-13,7.5,7.875,7.125,7.875,7.685328006744385,144900
2000-11-14,8.0,8.125,7.8125,8.125,7.929306983947754,71500
2000-11-15,8.0,8.125,7.875,8.0,7.807317733764648,63100
2000-11-16,7.875,8.0,7.5,7.6875,7.502343654632568,30600
2000-11-17,7.6875,7.9375,7.0625,7.5,7.319358825683594,59600
2000-11-20,7.25,7.75,7.21875,7.375,7.197370529174805,43200
2000-11-21,7.359375,8.25,7.0,7.8125,7.624332904815674,87700
2000-11-22,7.375,8.0,7.375,7.625,7.441349983215332,80600
2000-11-24,7.375,7.75,7.375,7.625,7.441349983215332,26000
2000-11-27,7.640625,8.375,7.5625,8.375,8.173285484313965,104100
2000-11-28,8.328125,8.375,7.6875,7.875,7.685328006744385,68300
2000-11-29,7.8125,8.0,7.125,7.5,7.319358825683594,86800
2000-11-30,7.375,7.5,7.0,7.0,6.83140230178833,417600
2000-12-01,7.125,7.5,7.0625,7.25,7.075382232666016,682000
2000-12-04,7.125,7.1875,7.0,7.125,6.9533915519714355,109200
2000-12-05,7.234375,7.25,6.875,7.125,6.9533915519714355,72800
2000-12-06,7.125,7.25,6.875,6.875,6.709414005279541,108700
2000-12-07,6.875,7.0,6.625,6.875,6.709414005279541,66000
2000-12-08,6.9375,7.25,6.625,7.25,7.075382232666016,519100
2000-12-11,7.125,8.1875,7.125,8.0,7.807317733764648,552700
2000-12-12,7.984375,9.0,7.6875,8.03125,7.837814807891846,101700
2000-12-13,7.890625,8.0625,7.3125,7.3125,7.136375904083252,204200
2000-12-14,7.375,7.875,7.3125,7.875,7.685328006744385,86800
2000-12-15,7.4375,7.5,7.0,7.0,6.83140230178833,82300
2000-12-18,7.0,7.625,7.0,7.0,6.83140230178833,96400
2000-12-19,7.09375,7.5,7.09375,7.125,6.9533915519714355,52300
2000-12-20,6.6875,7.0,6.59375,6.9375,6.770407676696777,170100
2000-12-21,7.25,7.5625,6.75,7.1875,7.0143866539001465,214200
2000-12-22,7.15625,7.3125,6.875,7.0,6.83140230178833,74000
2000-12-26,6.9375,6.953125,6.5,6.5,6.34344482421875,87700
2000-12-27,6.5625,6.9375,6.5,6.75,6.587423801422119,101100
2000-12-28,6.6875,7.0,6.5,6.75,6.587423801422119,280700
2000-12-29,6.75,7.9375,6.5,7.484375,7.304110527038574,288300
2001-01-02,7.390625,7.390625,6.875,7.0,6.83140230178833,63600
2001-01-03,6.9375,7.875,6.9375,7.8125,7.624332904815674,124600
2001-01-04,7.984375,8.375,7.96875,8.0625,7.868310928344727,143600
2001-01-05,8.1875,8.1875,7.875,8.125,7.929306983947754,128200
2001-01-08,7.875,8.1875,7.875,8.03125,7.837814807891846,135300
2001-01-09,7.9375,8.5,7.9375,8.5,8.29527473449707,78900
2001-01-10,8.21875,8.375,8.0625,8.3125,8.112292289733887,64500
2001-01-11,8.296875,8.3125,8.0,8.0625,7.868310928344727,72700
2001-01-12,8.1875,8.75,8.1875,8.625,8.417265892028809,73600
2001-01-16,8.609375,8.8125,8.25,8.25,8.051295280456543,85400
2001-01-17,8.375,9.125,8.375,8.625,8.417265892028809,247500
2001-01-18,8.875,9.125,8.625,9.0,8.783232688903809,65200
2001-01-19,9.1875,9.25,8.875,9.0,8.783232688903809,237200
2001-01-22,9.0,9.25,8.625,8.625,8.417265892028809,102400
2001-01-23,8.640625,9.1875,8.625,9.125,8.905220985412598,112500
2001-01-24,9.25,9.5,9.0625,9.125,8.905220985412598,36100
2001-01-25,9.0,9.625,9.0,9.125,8.905220985412598,134700
